import time: self [us] | cumulative | imported package
import time:       474 |        474 |                                         twisted._threads._threadworker
import time:       304 |       1146 |                                       twisted._threads._pool
import time:       357 |       2918 |                                     twisted._threads
import time:       401 |       3319 |                                   twisted.python.threadpool
import time:       381 |       3699 |                                 twisted.internet.threads
import time:       216 |        216 |                                   twisted.internet._idna
import time:     29211 |      29211 |                                           _ctypes
import time:       819 |        819 |                                           ctypes._endian
import time:      1018 |      31046 |                                         ctypes
import time:        23 |         23 |                                         ctypes.WinError
import time:        87 |         87 |                                         win32api
import time:       477 |      31632 |                                       twisted.python.win32
import time:      1351 |      32983 |                                     twisted.python.filepath
import time:      1760 |      34743 |                                   twisted.internet.address
import time:       701 |      35659 |                                 twisted.internet._resolver
import time:       300 |        300 |                                     attrs.converters
import time:       473 |        473 |                                     attrs.exceptions
import time:       116 |        116 |                                     attrs.filters
import time:       106 |        106 |                                     attrs.setters
import time:       105 |        105 |                                     attrs.validators
import time:       444 |       1541 |                                   attrs
import time:        29 |         29 |                                     gc
import time:       264 |        264 |                                     twisted.internet._baseprocess
import time:     15746 |      15746 |                                         termios
import time:       259 |      16004 |                                       tty
import time:       280 |      16284 |                                     pty
import time:       747 |      17323 |                                   twisted.internet.process
import time:      1664 |      20527 |                                 twisted.internet._signals
import time:      1242 |      61408 |                               twisted.internet.base
import time:       760 |      62168 |                             twisted.internet.task
import time:       827 |      62995 |                           twisted.internet._producer_helpers
import time:       340 |        340 |                             twisted.python.randbytes
import time:       413 |        413 |                                       pyasn1
import time:       679 |       1092 |                                     pyasn1.codec
import time:       318 |       1410 |                                   pyasn1.codec.der
import time:       151 |        151 |                                   pyasn1.codec.cer
import time:       381 |        381 |                                     pyasn1.error
import time:       308 |        308 |                                       pyasn1.type
import time:       118 |        118 |                                         pyasn1.codec.ber
import time:       150 |        150 |                                               pyasn1.type.error
import time:       447 |        596 |                                             pyasn1.type.constraint
import time:       248 |        248 |                                             pyasn1.type.tag
import time:       120 |        120 |                                             pyasn1.type.tagmap
import time:       478 |       1441 |                                           pyasn1.type.base
import time:       205 |       1646 |                                         pyasn1.codec.ber.eoo
import time:       129 |        129 |                                         pyasn1.compat
import time:       156 |        156 |                                         pyasn1.compat.integer
import time:       231 |        231 |                                         pyasn1.type.namedtype
import time:       259 |        259 |                                         pyasn1.type.namedval
import time:       975 |       3511 |                                       pyasn1.type.univ
import time:       249 |       4067 |                                     pyasn1.codec.streaming
import time:       196 |        196 |                                       pyasn1.debug
import time:       252 |        252 |                                       pyasn1.type.char
import time:       190 |        190 |                                       pyasn1.type.useful
import time:       788 |       1424 |                                     pyasn1.codec.ber.decoder
import time:       225 |       6096 |                                   pyasn1.codec.cer.decoder
import time:       925 |       8580 |                                 pyasn1.codec.der.decoder
import time:       748 |        748 |                                 service_identity.exceptions
import time:      2357 |       2357 |                                 service_identity.hazmat
import time:       349 |      12033 |                               service_identity.cryptography
import time:       228 |        228 |                               service_identity.pyopenssl
import time:       444 |      12704 |                             service_identity
import time:      5272 |      18314 |                           twisted.internet._sslverify
import time:       836 |        836 |                           twisted.protocols.policies
import time:       900 |     338242 |                         twisted.protocols.tls
import time:       761 |     339922 |                       twisted.internet._newtls
import time:      1844 |     397050 |                     twisted.internet.tcp
import time:       283 |        283 |                       twisted.internet._multicast
import time:       658 |        941 |                     twisted.internet.udp
import time:      1000 |       1000 |                     twisted.internet.ssl
import time:       357 |        357 |                       twisted.python.sendmsg
import time:      1109 |       1466 |                     twisted.internet.unix
import time:      1306 |     402388 |                   twisted.internet.posixbase
import time:        93 |         93 |                     win32file
import time:       320 |        412 |                   twisted.internet.win32eventreactor
import time:       556 |     413523 |                 twisted.internet.selectreactor
import time:       440 |     415994 |               twisted.internet.default
import time:       445 |     416439 |             twisted.internet.reactor
import time:       264 |        264 |                   autobahn._version
import time:       287 |        550 |                 autobahn
import time:       455 |        455 |                     twisted.internet._posixstdio
import time:       213 |        667 |                   twisted.internet.stdio
import time:       381 |       1048 |                 autobahn.twisted.util
import time:       283 |        283 |                     txaio._version
import time:       164 |        164 |                     txaio.interfaces
import time:       587 |        587 |                     txaio._unframework
import time:       412 |       1444 |                   txaio
import time:       127 |        127 |                     txaio._iotype
import time:       155 |        155 |                     txaio._common
import time:       121 |        121 |                     txaio._util
import time:       436 |        837 |                   txaio.tx
import time:       399 |       2679 |                 autobahn.twisted.choosereactor
import time:       486 |        486 |                         twisted.python.zippath
import time:       520 |       1006 |                       twisted.python.modules
import time:       494 |       1499 |                     twisted.plugin
import time:       742 |        742 |                     twisted.python.systemd
import time:      1564 |       3804 |                   twisted.internet.endpoints
import time:       474 |        474 |                     pprint
import time:       791 |       1264 |                   autobahn.util
import time:       458 |        458 |                       autobahn.wamp.request
import time:       765 |       1223 |                     autobahn.wamp.types
import time:       503 |        503 |                       autobahn.wamp.uri
import time:       386 |        888 |                     autobahn.wamp.exception
import time:       465 |        465 |                     autobahn.wamp.interfaces
import time:       399 |       2973 |                   autobahn.wamp
import time:       515 |        515 |                       autobahn.websocket.types
import time:       358 |        358 |                       autobahn.websocket.interfaces
import time:       356 |       1229 |                     autobahn.websocket
import time:        68 |         68 |                           wsaccel
import time:        11 |         78 |                         wsaccel.utf8validator
import time:       259 |        337 |                       autobahn.websocket.utf8validator
import time:        53 |         53 |                           wsaccel
import time:        38 |         90 |                         wsaccel.xormask
import time:       343 |        432 |                       autobahn.websocket.xormasker
import time:       693 |        693 |                         autobahn.websocket.compress_base
import time:       347 |        347 |                         autobahn.websocket.compress_deflate
import time:       294 |        294 |                         autobahn.websocket.compress_bzip2
import time:        69 |         69 |                         snappy
import time:       296 |       1697 |                       autobahn.websocket.compress
import time:       132 |        132 |                       autobahn.websocket.util
import time:       308 |        308 |                       autobahn.exception
import time:       673 |       3577 |                     autobahn.websocket.protocol
import time:       342 |       5147 |                   autobahn.wamp.websocket
import time:      1111 |      14298 |                 autobahn.twisted.websocket
import time:       206 |        206 |                     autobahn.rawsocket
import time:       272 |        477 |                   autobahn.rawsocket.util
import time:       623 |        623 |                     twisted.protocols.basic
import time:       530 |       1152 |                   autobahn.twisted.rawsocket
import time:       325 |        325 |                       autobahn.wamp.role
import time:        65 |         65 |                       cbor
import time:      1225 |       1614 |                     autobahn.wamp.message
import time:       489 |       2103 |                   autobahn.wamp.protocol
import time:       242 |        242 |                       cryptography.hazmat.primitives.kdf
import time:       331 |        572 |                     cryptography.hazmat.primitives.kdf.pbkdf2
import time:       987 |        987 |                     cryptography.hazmat.backends
import time:        64 |         64 |                       argon2
import time:        10 |         74 |                     argon2.low_level
import time:       487 |       2118 |                   autobahn.wamp.auth
import time:       213 |        213 |                   twisted.application
import time:       399 |        399 |                     twisted.persisted
import time:       474 |        474 |                       twisted.persisted.styles
import time:       396 |        869 |                     twisted.persisted.sob
import time:       800 |       2067 |                   twisted.application.service
import time:       536 |       8663 |                 autobahn.twisted.wamp
import time:       574 |      27810 |               autobahn.twisted
import time:        11 |      27821 |             autobahn.twisted.websocket
import time:       417 |     447297 |           kiteconnect.ticker
import time:       406 |     569195 |         kiteconnect
import time:       327 |        327 |                 numpy._utils._convertions
import time:       612 |        939 |               numpy._utils
import time:       478 |       1416 |             numpy._globals
import time:       505 |        505 |             numpy._expired_attrs_2_0
import time:       197 |        197 |             numpy.version
import time:        17 |         17 |               numpy._distributor_init_local
import time:       197 |        213 |             numpy._distributor_init
import time:       219 |        219 |                       numpy._utils._inspect
import time:       553 |        553 |                         numpy.exceptions
import time:       577 |        577 |                         numpy._core._exceptions
import time:       223 |        223 |                         numpy._core.printoptions
import time:       230 |        230 |                         numpy.dtypes
import time:     54811 |      56391 |                       numpy._core._multiarray_umath
import time:       354 |      56964 |                     numpy._core.overrides
import time:       741 |      57704 |                   numpy._core.multiarray
import time:       389 |        389 |                   numpy._core.umath
import time:       242 |        242 |                     numpy._core._string_helpers
import time:       333 |        333 |                     numpy._core._type_aliases
import time:       369 |        369 |                     numpy._core._dtype
import time:       380 |       1323 |                   numpy._core.numerictypes
import time:      1713 |       1713 |                         numpy._core._methods
import time:       742 |       2454 |                       numpy._core.fromnumeric
import time:       408 |       2862 |                     numpy._core.shape_base
import time:       295 |        295 |                     numpy._core._ufunc_config
import time:       616 |        616 |                     numpy._core.arrayprint
import time:       139 |        139 |                     numpy._core._asarray
import time:       767 |       4677 |                   numpy._core.numeric
import time:       360 |        360 |                   numpy._core.records
import time:       253 |        253 |                   numpy._core.memmap
import time:       357 |        357 |                   numpy._core.function_base
import time:       198 |        198 |                   numpy._core._machar
import time:       331 |        331 |                   numpy._core.getlimits
import time:       344 |        344 |                   numpy._core.einsumfunc
import time:       867 |        867 |                   numpy._core._add_newdocs
import time:       433 |        433 |                   numpy._core._add_newdocs_scalars
import time:       132 |        132 |                   numpy._core._dtype_ctypes
import time:       619 |        619 |                   numpy._core._internal
import time:       268 |        268 |                   numpy._pytesttester
import time:      1086 |      69332 |                 numpy._core
import time:        11 |      69342 |               numpy._core._multiarray_umath
import time:       327 |      69669 |             numpy.__config__
import time:       221 |        221 |                 numpy.lib._array_utils_impl
import time:       441 |        661 |               numpy.lib.array_utils
import time:       371 |        371 |               numpy.lib.introspect
import time:       251 |        251 |               numpy.lib.mixins
import time:       467 |        467 |                     numpy.lib._utils_impl
import time:       426 |        892 |                   numpy.lib.format
import time:       275 |        275 |                   numpy.lib._datasource
import time:       355 |        355 |                   numpy.lib._iotools
import time:       583 |       2104 |                 numpy.lib._npyio_impl
import time:       232 |       2335 |               numpy.lib.npyio
import time:       234 |        234 |                     numpy.lib._ufunclike_impl
import time:       332 |        566 |                   numpy.lib._type_check_impl
import time:       365 |        930 |                 numpy.lib._scimath_impl
import time:       122 |       1051 |               numpy.lib.scimath
import time:       335 |        335 |                 numpy.lib._stride_tricks_impl
import time:       121 |        456 |               numpy.lib.stride_tricks
import time:       171 |        171 |                       numpy.linalg.linalg
import time:       281 |        281 |                         numpy.lib._twodim_base_impl
import time:     12034 |      12034 |                         numpy.linalg._umath_linalg
import time:       465 |        465 |                           numpy._typing._nested_sequence
import time:       311 |        311 |                           numpy._typing._nbit_base
import time:       516 |        516 |                           numpy._typing._nbit
import time:      1740 |       1740 |                           numpy._typing._char_codes
import time:       149 |        149 |                           numpy._typing._scalars
import time:       112 |        112 |                           numpy._typing._shape
import time:      1904 |       1904 |                           numpy._typing._dtype_like
import time:      1724 |       1724 |                           numpy._typing._array_like
import time:       156 |        156 |                           numpy._typing._ufunc
import time:       579 |       7652 |                         numpy._typing
import time:       886 |      20852 |                       numpy.linalg._linalg
import time:       585 |      21607 |                     numpy.linalg
import time:       359 |      21966 |                   numpy.matrixlib.defmatrix
import time:       445 |      22410 |                 numpy.matrixlib
import time:       317 |        317 |                   numpy.lib._histograms_impl
import time:       797 |       1113 |                 numpy.lib._function_base_impl
import time:       466 |      23988 |               numpy.lib._index_tricks_impl
import time:       474 |        474 |               numpy.lib._nanfunctions_impl
import time:       432 |        432 |               numpy.lib._shape_base_impl
import time:       538 |        538 |               numpy.lib._arraysetops_impl
import time:       597 |        597 |               numpy.lib._polynomial_impl
import time:       174 |        174 |               numpy.lib._arrayterator_impl
import time:       304 |        304 |               numpy.lib._arraypad_impl
import time:       144 |        144 |               numpy.lib._version
import time:       842 |      32614 |             numpy.lib
import time:       376 |        376 |             numpy._array_api_info
import time:     21931 |     126917 |           numpy
import time:       276 |        276 |             pandas.compat._constants
import time:       468 |        468 |             pandas.compat.compressors
import time:       538 |        538 |                 pandas.util
import time:      1498 |       2036 |               pandas.util.version
import time:       455 |       2490 |             pandas.compat.numpy
import time:       535 |        535 |                 pyarrow._generated_version
import time:       149 |        149 |                   cloudpickle
import time:       643 |        643 |                   pyarrow.util
import time:    789535 |     790326 |                 pyarrow.lib
import time:       528 |        528 |                 pyarrow.ipc
import time:       817 |        817 |                 pyarrow.types
import time:       899 |     793103 |               pyarrow
import time:       278 |     793380 |             pandas.compat.pyarrow
import time:       835 |     797447 |           pandas.compat
import time:     14906 |      14906 |                       numpy.random._common
import time:       394 |        394 |                       secrets
import time:     16970 |      32269 |                     numpy.random.bit_generator
import time:     16690 |      16690 |                       numpy.random._bounded_integers
import time:      8533 |       8533 |                       numpy.random._mt19937
import time:     25318 |      50540 |                     numpy.random.mtrand
import time:      8327 |       8327 |                     numpy.random._philox
import time:      8680 |       8680 |                     numpy.random._pcg64
import time:      6739 |       6739 |                     numpy.random._sfc64
import time:     26895 |      26895 |                     numpy.random._generator
import time:       359 |     133806 |                   numpy.random._pickle
import time:       654 |     134459 |                 numpy.random
import time:      2265 |     136724 |               pandas._typing
import time:       308 |        308 |               pandas.util._exceptions
import time:       679 |     137710 |             pandas._config.config
import time:       320 |        320 |             pandas._config.dates
import time:       343 |        343 |             pandas._config.display
import time:       463 |     138834 |           pandas._config
import time:       317 |        317 |             pandas.core
import time:       944 |       1260 |           pandas.core.config_init
import time:      5697 |       5697 |               pandas._libs.pandas_parser
import time:      5917 |       5917 |               pandas._libs.pandas_datetime
import time:      7034 |       7034 |                           pandas._libs.tslibs.ccalendar
import time:     11579 |      11579 |                           pandas._libs.tslibs.np_datetime
import time:     14810 |      33421 |                         pandas._libs.tslibs.dtypes
import time:      7365 |       7365 |                           pandas._libs.tslibs.base
import time:     25959 |      25959 |                               pandas._libs.tslibs.nattype
import time:       854 |        854 |                                   pandas.compat._optional
import time:     21124 |      21978 |                                 pandas._libs.tslibs.timezones
import time:      1281 |       1281 |                                   _strptime
import time:       417 |        417 |                                   pandas._config.localization
import time:     20132 |      21828 |                                 pandas._libs.tslibs.fields
import time:     26236 |      70041 |                               pandas._libs.tslibs.timedeltas
import time:     19299 |      19299 |                               pandas._libs.tslibs.tzconversion
import time:     29389 |     144687 |                             pandas._libs.tslibs.timestamps
import time:      8893 |       8893 |                             pandas._libs.properties
import time:     31373 |     184952 |                           pandas._libs.tslibs.offsets
import time:     25765 |      25765 |                             pandas._libs.tslibs.strptime
import time:     29300 |      55064 |                           pandas._libs.tslibs.parsing
import time:     17715 |     265094 |                         pandas._libs.tslibs.conversion
import time:     26472 |      26472 |                         pandas._libs.tslibs.period
import time:     17375 |      17375 |                         pandas._libs.tslibs.vectorized
import time:       752 |     343114 |                       pandas._libs.tslibs
import time:        34 |     343147 |                     pandas._libs.tslibs.nattype
import time:      7247 |       7247 |                     pandas._libs.ops_dispatch
import time:     14970 |     365363 |                   pandas._libs.missing
import time:     39709 |     405072 |                 pandas._libs.hashtable
import time:     38833 |      38833 |                 pandas._libs.algos
import time:     33432 |     477337 |               pandas._libs.interval
import time:       633 |     489583 |             pandas._libs
import time:       941 |        941 |               pandas.core.dtypes
import time:     32114 |      32114 |               pandas._libs.lib
import time:      1134 |       1134 |               pandas.errors
import time:       496 |        496 |                 pandas.core.dtypes.generic
import time:       453 |        949 |               pandas.core.dtypes.base
import time:       604 |        604 |               pandas.core.dtypes.inference
import time:      1610 |      37348 |             pandas.core.dtypes.dtypes
import time:       463 |        463 |               pandas.core.dtypes.common
import time:       420 |        883 |             pandas.core.dtypes.missing
import time:       330 |        330 |               pandas.util._decorators
import time:       411 |        411 |                   pandas.io
import time:       344 |        754 |                 pandas.io._util
import time:       498 |       1252 |               pandas.core.dtypes.cast
import time:       250 |        250 |                 pandas.core.dtypes.astype
import time:       835 |       1085 |               pandas.core.dtypes.concat
import time:       499 |        499 |                 pandas.core.array_algos
import time:      2437 |       2437 |                     numpy.ma.core
import time:      1000 |       1000 |                     numpy.ma.extras
import time:       492 |       3927 |                   numpy.ma
import time:       520 |        520 |                   pandas.core.common
import time:       356 |       4803 |                 pandas.core.construction
import time:       542 |       5843 |               pandas.core.array_algos.take
import time:       382 |        382 |                 pandas.core.indexers.utils
import time:       359 |        741 |               pandas.core.indexers
import time:       832 |      10079 |             pandas.core.algorithms
import time:     35634 |      35634 |                     pyarrow._compute
import time:       553 |        553 |                     pyarrow._compute_docstrings
import time:       257 |        257 |                     pyarrow.vendored
import time:       566 |        566 |                         pkgutil
import time:      1063 |       1629 |                       pydoc
import time:      1190 |       2818 |                     pyarrow.vendored.docscrape
import time:     25817 |      65078 |                   pyarrow.compute
import time:       431 |      65508 |                 pandas.core.arrays.arrow.accessors
import time:       439 |        439 |                   pandas.util._validators
import time:       676 |        676 |                   pandas.core.missing
import time:     17146 |      17146 |                       pandas._libs.ops
import time:       494 |        494 |                       pandas.core.roperator
import time:       686 |        686 |                       pandas.core.computation
import time:       293 |        293 |                         pandas.core.computation.check
import time:       385 |        678 |                       pandas.core.computation.expressions
import time:       330 |        330 |                       pandas.core.ops.missing
import time:       217 |        217 |                       pandas.core.ops.dispatch
import time:       226 |        226 |                       pandas.core.ops.invalid
import time:       492 |      20267 |                     pandas.core.ops.array_ops
import time:       867 |        867 |                     pandas.core.ops.common
import time:       276 |        276 |                     pandas.core.ops.docstrings
import time:       129 |        129 |                     pandas.core.ops.mask_ops
import time:       579 |      22116 |                   pandas.core.ops
import time:       381 |        381 |                   pandas.core.arraylike
import time:       439 |        439 |                   pandas.core.arrays._arrow_string_mixins
import time:       125 |        125 |                   pandas.core.arrays._utils
import time:       460 |        460 |                     pandas.compat.numpy.function
import time:       230 |        230 |                     pandas.core.array_algos.quantile
import time:       329 |        329 |                     pandas.core.sorting
import time:       635 |       1653 |                   pandas.core.arrays.base
import time:       698 |        698 |                     pandas.core.nanops
import time:       134 |        134 |                     pandas.core.array_algos.masked_accumulations
import time:       134 |        134 |                     pandas.core.array_algos.masked_reductions
import time:       273 |        273 |                       pandas.core.util
import time:     13662 |      13662 |                       pandas._libs.hashing
import time:       333 |      14267 |                     pandas.core.util.hashing
import time:       804 |      16034 |                   pandas.core.arrays.masked
import time:      9812 |       9812 |                     pandas._libs.arrays
import time:       343 |        343 |                       pandas.core.arrays.numeric
import time:       502 |        844 |                     pandas.core.arrays.floating
import time:       632 |        632 |                     pandas.core.arrays.integer
import time:       117 |        117 |                         pandas.core.array_algos.transforms
import time:       462 |        578 |                       pandas.core.arrays._mixins
import time:       368 |        368 |                         pandas.core.strings
import time:       262 |        262 |                         pandas.core.strings.base
import time:       525 |       1154 |                       pandas.core.strings.object_array
import time:       335 |       2066 |                     pandas.core.arrays.numpy_
import time:       480 |        480 |                     pandas.io.formats
import time:       206 |        206 |                       pandas.io.formats.console
import time:       583 |        788 |                     pandas.io.formats.printing
import time:       711 |      15330 |                   pandas.core.arrays.string_
import time:       413 |        413 |                     pandas.tseries
import time:       412 |        825 |                   pandas.tseries.frequencies
import time:      1344 |      59357 |                 pandas.core.arrays.arrow.array
import time:       597 |     125461 |               pandas.core.arrays.arrow
import time:       347 |        347 |               pandas.core.arrays.boolean
import time:       400 |        400 |                 pandas.core.accessor
import time:       500 |        500 |                 pandas.core.base
import time:       705 |       1604 |               pandas.core.arrays.categorical
import time:     18010 |      18010 |                 pandas._libs.tslib
import time:       298 |        298 |                   pandas.core.array_algos.datetimelike_accumulations
import time:      1606 |       1903 |                 pandas.core.arrays.datetimelike
import time:       156 |        156 |                 pandas.core.arrays._ranges
import time:       247 |        247 |                 pandas.tseries.offsets
import time:       628 |      20943 |               pandas.core.arrays.datetimes
import time:       494 |        494 |                 pandas.core.arrays.timedeltas
import time:      1112 |       1605 |               pandas.core.arrays.interval
import time:       495 |        495 |               pandas.core.arrays.period
import time:     25973 |      25973 |                     pandas._libs.sparse
import time:       549 |      26521 |                   pandas.core.arrays.sparse.array
import time:       362 |      26883 |                 pandas.core.arrays.sparse.accessor
import time:       273 |      27155 |               pandas.core.arrays.sparse
import time:       570 |        570 |               pandas.core.arrays.string_arrow
import time:       567 |     178744 |             pandas.core.arrays
import time:       295 |        295 |             pandas.core.flags
import time:     20411 |      20411 |                   pandas._libs.internals
import time:       713 |        713 |                     pandas.core._numba
import time:       584 |       1296 |                   pandas.core._numba.executor
import time:       709 |      22415 |                 pandas.core.apply
import time:      7606 |       7606 |                       pandas._libs.indexing
import time:       312 |        312 |                         pandas.core.indexes
import time:     26016 |      26016 |                           pandas._libs.index
import time:     13077 |      13077 |                           pandas._libs.writers
import time:     30364 |      30364 |                           pandas._libs.join
import time:       474 |        474 |                           pandas.core.array_algos.putmask
import time:       327 |        327 |                           pandas.core.indexes.frozen
import time:      4165 |       4165 |                           pandas.core.strings.accessor
import time:      2266 |      76686 |                         pandas.core.indexes.base
import time:       373 |        373 |                           pandas.core.indexes.extension
import time:       677 |       1049 |                         pandas.core.indexes.category
import time:       569 |        569 |                             pandas.core.indexes.range
import time:       299 |        299 |                               pandas.core.tools
import time:       449 |        748 |                             pandas.core.tools.timedeltas
import time:       647 |       1963 |                           pandas.core.indexes.datetimelike
import time:       251 |        251 |                           pandas.core.tools.times
import time:       860 |       3073 |                         pandas.core.indexes.datetimes
import time:       824 |        824 |                           pandas.core.indexes.multi
import time:       370 |        370 |                           pandas.core.indexes.timedeltas
import time:       552 |       1745 |                         pandas.core.indexes.interval
import time:       390 |        390 |                         pandas.core.indexes.period
import time:       412 |      83664 |                       pandas.core.indexes.api
import time:      1266 |      92534 |                     pandas.core.indexing
import time:       411 |        411 |                     pandas.core.sample
import time:       263 |        263 |                     pandas.core.array_algos.replace
import time:       691 |        691 |                         pandas.core.internals.blocks
import time:       196 |        887 |                       pandas.core.internals.api
import time:       386 |        386 |                         pandas.core.internals.base
import time:       425 |        425 |                           pandas.core.internals.ops
import time:       578 |       1003 |                         pandas.core.internals.managers
import time:       644 |       2032 |                       pandas.core.internals.array_manager
import time:       512 |        512 |                       pandas.core.internals.concat
import time:       769 |       4198 |                     pandas.core.internals
import time:       305 |        305 |                     pandas.core.internals.construction
import time:       135 |        135 |                       pandas.core.methods
import time:       133 |        133 |                         pandas.core.reshape
import time:       394 |        526 |                       pandas.core.reshape.concat
import time:       444 |        444 |                           gzip
import time:     21171 |      21171 |                           mmap
import time:      1306 |       1306 |                           tarfile
import time:       344 |        344 |                           pandas.core.shared_docs
import time:      1410 |      24674 |                         pandas.io.common
import time:     20512 |      45186 |                       pandas.io.formats.format
import time:       514 |      46359 |                     pandas.core.methods.describe
import time:       503 |        503 |                           pandas._libs.window
import time:     23524 |      24027 |                         pandas._libs.window.aggregations
import time:     13325 |      13325 |                           pandas._libs.window.indexers
import time:       762 |      14086 |                         pandas.core.indexers.objects
import time:       309 |        309 |                         pandas.core.util.numba_
import time:       282 |        282 |                         pandas.core.window.common
import time:       914 |        914 |                         pandas.core.window.doc
import time:       366 |        366 |                         pandas.core.window.numba_
import time:       142 |        142 |                         pandas.core.window.online
import time:      1344 |       1344 |                         pandas.core.window.rolling
import time:       957 |      42424 |                       pandas.core.window.ewm
import time:       896 |        896 |                       pandas.core.window.expanding
import time:       531 |      43849 |                     pandas.core.window
import time:      4237 |     192153 |                   pandas.core.generic
import time:       216 |        216 |                   pandas.core.methods.selectn
import time:       286 |        286 |                     pandas.core.reshape.util
import time:       174 |        174 |                     pandas.core.tools.numeric
import time:       444 |        903 |                   pandas.core.reshape.melt
import time:     16546 |      16546 |                     pandas._libs.reshape
import time:       643 |        643 |                     pandas.core.indexes.accessors
import time:       376 |        376 |                       pandas.arrays
import time:       617 |        992 |                     pandas.core.tools.datetimes
import time:       765 |        765 |                     pandas.io.formats.info
import time:       929 |        929 |                       pandas.plotting._core
import time:       440 |        440 |                       pandas.plotting._misc
import time:       409 |       1778 |                     pandas.plotting
import time:      2614 |      23335 |                   pandas.core.series
import time:      6933 |     223537 |                 pandas.core.frame
import time:       795 |        795 |                 pandas.core.groupby.base
import time:     37515 |      37515 |                   pandas._libs.groupby
import time:       291 |        291 |                     pandas.core.groupby.categorical
import time:       554 |        844 |                   pandas.core.groupby.grouper
import time:       544 |      38903 |                 pandas.core.groupby.ops
import time:       307 |        307 |                   pandas.core.groupby.numba_
import time:       393 |        393 |                   pandas.core.groupby.indexing
import time:      1715 |       2414 |                 pandas.core.groupby.groupby
import time:      1864 |     289925 |               pandas.core.groupby.generic
import time:       404 |     290329 |             pandas.core.groupby
import time:       443 |    1007700 |           pandas.core.api
import time:       327 |        327 |           pandas.tseries.api
import time:       506 |        506 |                   pandas.core.computation.common
import time:       208 |        713 |                 pandas.core.computation.align
import time:       402 |        402 |                   pandas.core.computation.scope
import time:       462 |        863 |                 pandas.core.computation.ops
import time:       257 |       1832 |               pandas.core.computation.engines
import time:       146 |        146 |                 pandas.core.computation.parsing
import time:      1246 |       1391 |               pandas.core.computation.expr
import time:       295 |       3517 |             pandas.core.computation.eval
import time:       214 |       3731 |           pandas.core.computation.api
import time:       265 |        265 |             pandas.core.reshape.encoding
import time:       681 |        681 |             pandas.core.reshape.merge
import time:       582 |        582 |             pandas.core.reshape.pivot
import time:       341 |        341 |             pandas.core.reshape.tile
import time:       268 |       2135 |           pandas.core.reshape.api
import time:       299 |        299 |             pandas.api.extensions
import time:      1165 |       1165 |             pandas.api.indexers
import time:       351 |        351 |                 pandas.core.interchange
import time:       719 |       1070 |               pandas.core.interchange.dataframe_protocol
import time:       246 |        246 |                 pandas.core.interchange.utils
import time:       325 |        570 |               pandas.core.interchange.from_dataframe
import time:       142 |       1780 |             pandas.api.interchange
import time:       219 |        219 |               pandas.core.dtypes.api
import time:       141 |        360 |             pandas.api.types
import time:      1107 |       1107 |               pandas.core.resample
import time:      8742 |       8742 |                     pandas._libs.json
import time:       321 |        321 |                     pandas.io.json._normalize
import time:       269 |        269 |                     pandas.io.json._table_schema
import time:     22735 |      22735 |                           pandas._libs.parsers
import time:       559 |        559 |                             pandas.io.parsers.base_parser
import time:       382 |        940 |                           pandas.io.parsers.arrow_parser_wrapper
import time:       342 |        342 |                           pandas.io.parsers.c_parser_wrapper
import time:       481 |        481 |                           pandas.io.parsers.python_parser
import time:      1453 |      25949 |                         pandas.io.parsers.readers
import time:       243 |      26192 |                       pandas.io.parsers
import time:        13 |      26204 |                     pandas.io.parsers.readers
import time:       801 |      36334 |                   pandas.io.json._json
import time:       486 |      36819 |                 pandas.io.json
import time:        11 |      36830 |               pandas.io.json._json
import time:      1091 |       1091 |               pandas.io.stata
import time:       145 |      39172 |             pandas.api.typing
import time:       270 |      43045 |           pandas.api
import time:       257 |        257 |                 pandas._testing.contexts
import time:       284 |        541 |               pandas._testing._io
import time:       776 |        776 |               pandas._testing._warnings
import time:     19912 |      19912 |                   cmath
import time:      9972 |      29884 |                 pandas._libs.testing
import time:       459 |      30342 |               pandas._testing.asserters
import time:       353 |        353 |               pandas._testing.compat
import time:       706 |      32716 |             pandas._testing
import time:       296 |      33011 |           pandas.testing
import time:       304 |        304 |           pandas.util._print_versions
import time:       294 |        294 |             pandas.io.clipboards
import time:       330 |        330 |                 pandas.io.excel._util
import time:       476 |        476 |                 pandas.io.excel._calamine
import time:       279 |        279 |                 pandas.io.excel._odfreader
import time:       848 |        848 |                 pandas.io.excel._openpyxl
import time:       174 |        174 |                 pandas.io.excel._pyxlsb
import time:       188 |        188 |                 pandas.io.excel._xlrd
import time:      1189 |       3481 |               pandas.io.excel._base
import time:       280 |        280 |               pandas.io.excel._odswriter
import time:       179 |        179 |               pandas.io.excel._xlsxwriter
import time:       363 |       4302 |             pandas.io.excel
import time:       267 |        267 |             pandas.io.feather_format
import time:       226 |        226 |             pandas.io.gbq
import time:       750 |        750 |             pandas.io.html
import time:       144 |        144 |             pandas.io.orc
import time:       523 |        523 |             pandas.io.parquet
import time:       276 |        276 |               pandas.compat.pickle_compat
import time:       234 |        509 |             pandas.io.pickle
import time:       478 |        478 |               pandas.core.computation.pytables
import time:      1528 |       2006 |             pandas.io.pytables
import time:       244 |        244 |               pandas.io.sas.sasreader
import time:       392 |        636 |             pandas.io.sas
import time:       241 |        241 |             pandas.io.spss
import time:      1099 |       1099 |             pandas.io.sql
import time:       691 |        691 |             pandas.io.xml
import time:       304 |      11986 |           pandas.io.api
import time:       249 |        249 |           pandas.util._tester
