import time: self [us] | cumulative | imported package
import time:       365 |        603 |                           ntpath
import time:       877 |       1897 |                         pathlib
import time:        86 |         86 |                           backports_abc
import time:     16136 |      16221 |                         pydantic.typing
import time:     25793 |      96373 |                       pydantic.errors
import time:        80 |         80 |                         backports_abc
import time:        66 |         66 |                           backports_abc
import time:      5962 |       6027 |                         pydantic.version
import time:     20211 |      26317 |                       pydantic.utils
import time:     23477 |     146316 |                     pydantic.class_validators
import time:      7976 |       7976 |                     pydantic.config
import time:       103 |        103 |                       backports_abc
import time:      1131 |       1131 |                         ipaddress
import time:      1314 |       1314 |                           _uuid
import time:       474 |       1788 |                         uuid
import time:        70 |         70 |                           backports_abc
import time:       297 |        297 |                           colorsys
import time:     16868 |      17234 |                         pydantic.color
import time:        76 |         76 |                           backports_abc
import time:       410 |        410 |                             backports_abc
import time:     13354 |      13354 |                             pydantic.datetime_parse
import time:     22239 |      36001 |                           pydantic.validators
import time:     18186 |      54263 |                         pydantic.networks
import time:       414 |        414 |                           backports_abc
import time:     28586 |      29000 |                         pydantic.types
import time:      6871 |     110285 |                       pydantic.json
import time:     10552 |     120940 |                     pydantic.error_wrappers
import time:       399 |        399 |                       backports_abc
import time:     26628 |      27027 |                     pydantic.fields
import time:       427 |        427 |                       backports_abc
import time:       481 |        481 |                           _compat_pickle
import time:     27884 |      27884 |                           _pickle
import time:       349 |        349 |                               org
import time:        37 |        386 |                             org.python
import time:        45 |        430 |                           org.python.core
import time:      1700 |      30494 |                         pickle
import time:      7996 |      38489 |                       pydantic.parse
import time:       431 |        431 |                         backports_abc
import time:     27340 |      27771 |                       pydantic.schema
import time:     26401 |      93085 |                     pydantic.main
import time:     24859 |     423533 |                   pydantic.dataclasses
import time:        75 |         75 |                     backports_abc
import time:      7449 |       7523 |                   pydantic.annotated_types
import time:     14399 |      14399 |                   pydantic.decorator
import time:       326 |        326 |                     backports_abc
import time:     17498 |      17823 |                   pydantic.env_settings
import time:      8526 |       8526 |                   pydantic.tools
import time:     32861 |     504662 |                 pydantic
import time:       778 |        778 |                   http
import time:      1600 |       2378 |                 starlette.exceptions
import time:       669 |     507708 |               fastapi.exceptions
import time:       305 |        305 |               fastapi.types
import time:       412 |        412 |                 shlex
import time:       678 |        678 |                         anyio._core
import time:       405 |       1082 |                       anyio._core._contextmanagers
import time:       376 |        376 |                           sniffio._version
import time:       251 |        251 |                           sniffio._impl
import time:      1277 |       1903 |                         sniffio
import time:       289 |       2192 |                       anyio._core._eventloop
import time:      1329 |       1329 |                         textwrap
import time:       702 |        702 |                             exceptiongroup._exceptions
import time:       330 |       1032 |                           exceptiongroup._catch
import time:       123 |        123 |                           exceptiongroup._version
import time:       532 |        532 |                           exceptiongroup._formatting
import time:       453 |        453 |                           exceptiongroup._suppress
import time:       566 |       2704 |                         exceptiongroup
import time:       614 |       4646 |                       anyio._core._exceptions
import time:       466 |        466 |                             anyio.abc._eventloop
import time:       208 |        208 |                             anyio.abc._resources
import time:       231 |        231 |                               anyio._core._typedattr
import time:       365 |        365 |                                 anyio.abc._tasks
import time:      1417 |       1782 |                               anyio.abc._streams
import time:       547 |       2559 |                             anyio.abc._sockets
import time:       262 |        262 |                             anyio.abc._subprocesses
import time:       262 |        262 |                             anyio.abc._testing
import time:       658 |        658 |                               anyio.lowlevel
import time:       347 |        347 |                               anyio._core._tasks
import time:       565 |        565 |                               anyio._core._testing
import time:      3735 |       5304 |                             anyio._core._synchronization
import time:       844 |        844 |                             anyio.from_thread
import time:       559 |      10461 |                           anyio.abc
import time:       481 |      10941 |                         anyio.to_thread
import time:      1540 |      12481 |                       anyio._core._fileio
import time:       251 |        251 |                       anyio._core._resources
import time:       122 |        122 |                       anyio._core._signals
import time:       136 |        136 |                           anyio.streams
import time:       726 |        862 |                         anyio.streams.stapled
import time:       704 |        704 |                         anyio.streams.tls
import time:       752 |       2318 |                       anyio._core._sockets
import time:      1143 |       1143 |                         anyio.streams.memory
import time:       215 |       1357 |                       anyio._core._streams
import time:       281 |        281 |                       anyio._core._subprocesses
import time:      1937 |       1937 |                             zlib
import time:       344 |        344 |                               _compression
import time:      2078 |       2078 |                               _bz2
import time:       349 |       2770 |                             bz2
import time:      2266 |       2266 |                               _lzma
import time:       347 |       2612 |                             lzma
import time:       571 |       7889 |                           shutil
import time:       431 |       8320 |                         tempfile
import time:       304 |       8623 |                       anyio._core._tempfile
import time:       792 |      34139 |                     anyio
import time:        11 |      34149 |                   anyio.to_thread
import time:       271 |      34420 |                 starlette.concurrency
import time:       563 |        563 |                 starlette.types
import time:       680 |      36073 |               starlette.datastructures
import time:       217 |        217 |               fastapi.openapi.constants
import time:       732 |     545033 |             fastapi._compat
import time:       267 |        267 |             fastapi.logger
import time:        69 |         69 |             email_validator
import time:     26950 |     572638 |           fastapi.openapi.models
import time:       867 |     573505 |         fastapi.params
import time:       513 |        513 |         fastapi.datastructures
import time:       402 |        402 |           fastapi.dependencies
import time:       167 |        167 |                 fastapi.security.base
import time:      1170 |       1170 |                   http.cookies
import time:       429 |        429 |                   starlette._utils
import time:        76 |         76 |                     multipart
import time:       727 |        802 |                   starlette.formparsers
import time:        67 |         67 |                     multipart
import time:        13 |         80 |                   multipart.multipart
import time:       403 |       2882 |                 starlette.requests
import time:       465 |       3514 |               fastapi.security.api_key
import time:       179 |        179 |                 fastapi.security.utils
import time:       918 |       1097 |               fastapi.security.http
import time:       942 |        942 |                 fastapi.param_functions
import time:       781 |       1722 |               fastapi.security.oauth2
import time:       185 |        185 |               fastapi.security.open_id_connect_url
import time:       450 |       6966 |             fastapi.security
import time:        14 |       6980 |           fastapi.security.base
import time:       583 |       7964 |         fastapi.dependencies.models
import time:       239 |        239 |             starlette.background
import time:       186 |        425 |           fastapi.background
import time:       159 |        159 |           fastapi.concurrency
import time:       338 |        338 |           fastapi.utils
import time:        63 |         63 |               _winapi
import time:        56 |         56 |               winreg
import time:       491 |        609 |             mimetypes
import time:      4163 |       4163 |                 _hashlib
import time:      1844 |       1844 |                 _blake2
import time:       468 |       6475 |               hashlib
import time:       246 |       6720 |             starlette._compat
import time:       400 |       7729 |           starlette.responses
import time:       435 |        435 |           starlette.websockets
import time:       669 |       9754 |         fastapi.dependencies.utils
import time:       465 |        465 |         fastapi.encoders
import time:       263 |        263 |           starlette._exception_handler
import time:       450 |        450 |           starlette.convertors
import time:       286 |        286 |           starlette.middleware
import time:       832 |       1829 |         starlette.routing
import time:      1675 |     664234 |       fastapi.routing
import time:       213 |        213 |         fastapi.websockets
import time:       285 |        497 |       fastapi.exception_handlers
import time:       478 |        478 |       fastapi.openapi.docs
import time:       528 |        528 |             email.feedparser
import time:       263 |        791 |           email.parser
import time:       805 |       1595 |         http.client
import time:        59 |         59 |           ujson
import time:        50 |         50 |           orjson
import time:       162 |        270 |         fastapi.responses
import time:       436 |       2300 |       fastapi.openapi.utils
import time:       444 |        444 |         starlette.middleware.base
import time:       975 |        975 |             html.entities
import time:       363 |       1338 |           html
import time:       286 |       1624 |         starlette.middleware.errors
import time:       326 |        326 |         starlette.middleware.exceptions
import time:       202 |       2594 |       starlette.applications
import time:      2043 |     679031 |     fastapi.applications
import time:       125 |        125 |     fastapi.requests
import time:      1097 |     682537 |   fastapi
import time:       123 |        123 |     fastapi.middleware
import time:       137 |        137 |     starlette.middleware.cors
import time:       167 |        427 |   fastapi.middleware.cors
import time:     21702 |      21702 |             _csv
import time:       380 |      22081 |           csv
import time:      1055 |       1055 |           zipfile
import time:       274 |        274 |               importlib.metadata._functools
import time:       298 |        571 |             importlib.metadata._text
import time:       448 |       1019 |           importlib.metadata._adapters
import time:       266 |        266 |           importlib.metadata._meta
import time:       241 |        241 |           importlib.metadata._collections
import time:       138 |        138 |           importlib.metadata._itertools
import time:       442 |        442 |           importlib.abc
import time:      1125 |      26363 |         importlib.metadata
import time:      2910 |      29272 |       apscheduler
import time:       610 |      29882 |     apscheduler.schedulers
import time:       432 |        432 |                 sysconfig
import time:       480 |        480 |                 _sysconfigdata__darwin_darwin
import time:       465 |        465 |                 _osx_support
import time:       716 |       2091 |               zoneinfo._tzpath
import time:       156 |        156 |               zoneinfo._common
import time:     23023 |      23023 |               _zoneinfo
import time:       491 |      25760 |             zoneinfo
import time:       574 |        574 |             tzlocal.windows_tz
import time:       245 |      26579 |           tzlocal.utils
import time:       326 |      26904 |         tzlocal.unix
import time:       578 |      27482 |       tzlocal
import time:       239 |        239 |       apscheduler.events
import time:       319 |        319 |         apscheduler.executors
import time:       491 |        809 |       apscheduler.executors.base
import time:       417 |        417 |             multiprocessing.process
import time:       327 |        327 |             multiprocessing.reduction
import time:       552 |       1296 |           multiprocessing.context
import time:      1175 |       2471 |         multiprocessing
import time:      2194 |       2194 |             _queue
import time:       362 |       2556 |           queue
import time:     17680 |      17680 |             _multiprocessing
import time:       679 |        679 |             multiprocessing.util
import time:        92 |         92 |             _winapi
import time:       384 |      18834 |           multiprocessing.connection
import time:       473 |        473 |           multiprocessing.queues
import time:       461 |      22323 |         concurrent.futures.process
import time:       323 |      25115 |       apscheduler.executors.pool
import time:       350 |        350 |           apscheduler.triggers
import time:       304 |        654 |         apscheduler.triggers.base
import time:       518 |        518 |         apscheduler.util
import time:       718 |       1889 |       apscheduler.job
import time:       851 |        851 |         apscheduler.jobstores
import time:       406 |       1257 |       apscheduler.jobstores.base
import time:       556 |        556 |       apscheduler.jobstores.memory
import time:     46764 |     104108 |     apscheduler.schedulers.base
import time:       311 |        311 |     apscheduler.schedulers.blocking
import time:       364 |     134663 |   apscheduler.schedulers.background
import time:       157 |        157 |     app.strategy
import time:       159 |        159 |       app.event_bus
import time:       387 |        387 |         pytz.exceptions
import time:       299 |        299 |         pytz.lazy
import time:       396 |        396 |         pytz.tzinfo
import time:       215 |        215 |         pytz.tzfile
import time:       734 |       2029 |       pytz
import time:     49928 |      52115 |     app.event_bus.audit_logger
import time:       579 |        579 |       app.engine
import time:       156 |        156 |         app.selector
import time:       585 |        741 |       app.selector.option_selector
import time:       310 |        310 |         app.fetcher
import time:       292 |        292 |           kiteconnect.exceptions
import time:       836 |        836 |             six
import time:        17 |         17 |                 six.moves
import time:        19 |         35 |               six.moves.urllib
import time:        20 |         54 |             six.moves.urllib.parse
import time:       269 |        269 |                 dateutil._version
import time:       393 |        662 |               dateutil
import time:       173 |        173 |                 dateutil._common
import time:       281 |        281 |                   dateutil.tz._common
import time:       161 |        161 |                   dateutil.tz._factories
import time:        11 |         11 |                     six.moves.winreg
import time:       266 |        276 |                   dateutil.tz.win
import time:       598 |       1315 |                 dateutil.tz.tz
import time:      1245 |       2732 |               dateutil.parser._parser
import time:       239 |        239 |               dateutil.parser.isoparser
import time:       904 |       4535 |             dateutil.parser
import time:       735 |        735 |                 urllib3.exceptions
import time:       949 |        949 |                         urllib3.util.timeout
import time:       439 |       1387 |                       urllib3.util.connection
import time:       123 |        123 |                         urllib3.util.util
import time:        65 |         65 |                         brotlicffi
import time:        58 |         58 |                         brotli
import time:        56 |         56 |                         zstandard
import time:       453 |        752 |                       urllib3.util.request
import time:       154 |        154 |                       urllib3.util.response
import time:       370 |        370 |                       urllib3.util.retry
import time:       556 |        556 |                         hmac
import time:      4414 |       4414 |                         urllib3.util.url
import time:       309 |        309 |                         urllib3.util.ssltransport
import time:       417 |       5693 |                       urllib3.util.ssl_
import time:       130 |        130 |                       urllib3.util.wait
import time:       569 |       9053 |                     urllib3.util
import time:        11 |       9064 |                   urllib3.util.connection
import time:       413 |       9477 |                 urllib3._base_connection
import time:       508 |        508 |                 urllib3._collections
import time:       260 |        260 |                 urllib3._version
import time:       268 |        268 |                       urllib3.fields
import time:       267 |        535 |                     urllib3.filepost
import time:        61 |         61 |                       brotlicffi
import time:        51 |         51 |                       brotli
import time:        49 |         49 |                       zstandard
import time:       229 |        229 |                         urllib3.http2
import time:       176 |        176 |                         urllib3.http2.probe
import time:       140 |        140 |                         urllib3.util.ssl_match_hostname
import time:       617 |       1162 |                       urllib3.connection
import time:       498 |       1819 |                     urllib3.response
import time:       278 |       2630 |                   urllib3._request_methods
import time:       140 |        140 |                   urllib3.util.proxy
import time:       465 |       3233 |                 urllib3.connectionpool
import time:       612 |        612 |                 urllib3.poolmanager
import time:       690 |      15512 |               urllib3
import time:       798 |        798 |                       charset_normalizer.constant
import time:     29901 |      29901 |                         charset_normalizer.md__mypyc
import time:      2055 |       2055 |                           unicodedata
import time:     18332 |      18332 |                           _multibytecodec
import time:       427 |      20813 |                         charset_normalizer.utils
import time:     19440 |      70154 |                       charset_normalizer.md
import time:       466 |        466 |                       charset_normalizer.models
import time:       345 |      71762 |                     charset_normalizer.cd
import time:       242 |      72003 |                   charset_normalizer.api
import time:       271 |        271 |                   charset_normalizer.legacy
import time:       254 |        254 |                   charset_normalizer.version
import time:        69 |         69 |                   simplejson
import time:       326 |        326 |                         urllib.response
import time:       283 |        609 |                       urllib.error
import time:      1806 |       1806 |                       _scproxy
import time:       919 |       3333 |                     urllib.request
import time:      2080 |       5413 |                   http.cookiejar
import time:       823 |      78831 |                 requests.compat
import time:      1122 |      79952 |               requests.exceptions
import time:        81 |         81 |               chardet
import time:       585 |        585 |                     idna.idnadata
import time:       302 |        302 |                     idna.intranges
import time:       809 |       1695 |                   idna.core
import time:       294 |        294 |                   idna.package_data
import time:       475 |       2464 |                 idna
import time:       655 |       3118 |               requests.packages
import time:       311 |        311 |                           importlib._adapters
import time:       266 |        577 |                         importlib._common
import time:       292 |        868 |                       importlib.resources
import time:       182 |       1049 |                     certifi.core
import time:       194 |       1243 |                   certifi
import time:       200 |       1443 |                 requests.certs
import time:       273 |        273 |                 requests.__version__
import time:       343 |        343 |                 requests._internal_utils
import time:       700 |        700 |                 requests.cookies
import time:       308 |        308 |                 requests.structures
import time:       184 |        184 |                 importlib.readers
import time:       992 |       4240 |               requests.utils
import time:       178 |        178 |                     requests.auth
import time:       458 |        458 |                         stringprep
import time:       528 |        986 |                       encodings.idna
import time:       115 |        115 |                       requests.hooks
import time:       409 |        409 |                       requests.status_codes
import time:       306 |       1815 |                     requests.models
import time:       385 |        385 |                       urllib3.contrib
import time:        59 |         59 |                       socks
import time:       316 |        759 |                     urllib3.contrib.socks
import time:      8150 |      10900 |                   requests.adapters
import time:       445 |      11344 |                 requests.sessions
import time:       246 |      11590 |               requests.api
import time:       622 |     115113 |             requests
import time:       253 |        253 |             kiteconnect.__version__
import time:       413 |     121202 |           kiteconnect.connect
import time:       286 |        286 |                     incremental._version
import time:      1026 |       1311 |                   incremental
import time:       396 |       1707 |                 twisted._version
import time:       386 |       2092 |               twisted
import time:       530 |       2622 |             twisted.internet
import time:       650 |        650 |                     twisted.python.deprecate
import time:       421 |        421 |                     twisted.python.versions
import time:       598 |       1668 |                   twisted.python
import time:       365 |       2032 |                 twisted.python.runtime
import time:       505 |        505 |                       zope.interface.ro
import time:       251 |        251 |                       zope.interface._compat
import time:       307 |        307 |                       zope.interface.exceptions
import time:      5917 |       5917 |                       zope.interface._zope_interface_coptimizations
import time:       574 |        574 |                       zope.interface.declarations
import time:       843 |       8395 |                     zope.interface.interface
import time:      1112 |       1112 |                     zope.interface.interfaces
import time:       664 |      10169 |                   zope.interface
import time:       627 |        627 |                     twisted.internet.error
import time:      1707 |       1707 |                             platform
import time:       271 |       1978 |                           attr._compat
import time:       135 |        135 |                             attr._config
import time:       183 |        183 |                               attr.exceptions
import time:       270 |        453 |                             attr.setters
import time:      1697 |       2283 |                           attr._make
import time:       454 |       4714 |                         attr.converters
import time:       159 |        159 |                         attr.filters
import time:      3047 |       3047 |                         attr.validators
import time:       290 |        290 |                         attr._cmp
import time:       255 |        255 |                         attr._funcs
import time:       270 |        270 |                         attr._next_gen
import time:       427 |        427 |                         attr._version_info
import time:       656 |       9813 |                       attr
import time:       351 |        351 |                             twisted.python.compat
import time:       511 |        862 |                           twisted.python.reflect
import time:       463 |       1324 |                         twisted.python.failure
