candle_time,symbol,instrument_token,start_ts,end_ts,open,high,low,close
09:13:00,NIFTY25D2326150CE,14595330,1766029320,1766029380,25.1,25.1,25.1,25.1
09:16:00,NIFTY25D2326150CE,14595330,1766029500,1766029560,19.3,19.95,16.75,16.9
09:17:00,NIFTY25D2326150CE,14595330,1766029560,1766029620,16.7,17.45,15.95,17.15
09:18:00,NIFTY25D2326150CE,14595330,1766029620,1766029680,17.25,17.95,17.05,17.45
09:19:00,NIFTY25D2326150CE,14595330,1766029680,1766029740,17.45,18.2,17.3,17.45
09:20:00,NIFTY25D2326150CE,14595330,1766029740,1766029800,17.4,18.4,16.8,16.9
09:22:00,NIFTY25D2326150CE,14595330,1766029860,1766029920,16.9,18.6,16.9,17.0
09:24:00,NIFTY25D2326150CE,14595330,1766029980,1766030040,17.6,18.35,17.4,18.25
09:25:00,NIFTY25D2326150CE,14595330,1766030040,1766030100,19.35,19.35,19.35,19.35
09:29:00,NIFTY25D2326150CE,14595330,1766030280,1766030340,18.1,18.2,17.15,17.45
09:30:00,NIFTY25D2326150CE,14595330,1766030340,1766030400,17.55,18.2,17.1,17.1
09:31:00,NIFTY25D2326150CE,14595330,1766030400,1766030460,17.1,17.95,17.0,17.7
09:32:00,NIFTY25D2326150CE,14595330,1766030460,1766030520,17.65,18.25,17.3,17.95
09:33:00,NIFTY25D2326150CE,14595330,1766030520,1766030580,18.0,18.1,16.75,17.0
09:34:00,NIFTY25D2326150CE,14595330,1766030580,1766030640,16.9,17.0,16.05,16.75
09:35:00,NIFTY25D2326150CE,14595330,1766030640,1766030700,16.75,17.4,16.55,16.95
09:36:00,NIFTY25D2326150CE,14595330,1766030700,1766030760,16.9,17.0,15.9,16.0
09:37:00,NIFTY25D2326150CE,14595330,1766030760,1766030820,16.0,17.5,16.0,17.5
09:38:00,NIFTY25D2326150CE,14595330,1766030820,1766030880,17.65,17.75,16.95,17.25
09:39:00,NIFTY25D2326150CE,14595330,1766030880,1766030940,17.1,17.7,16.75,16.85
09:40:00,NIFTY25D2326150CE,14595330,1766030940,1766031000,16.45,17.0,16.4,16.6
09:41:00,NIFTY25D2326150CE,14595330,1766031000,1766031060,16.3,16.65,16.05,16.35
09:42:00,NIFTY25D2326150CE,14595330,1766031060,1766031120,16.5,16.9,15.8,15.85
09:43:00,NIFTY25D2326150CE,14595330,1766031120,1766031180,15.8,16.0,14.9,14.9
09:44:00,NIFTY25D2326150CE,14595330,1766031180,1766031240,15.05,15.3,14.7,15.15
09:45:00,NIFTY25D2326150CE,14595330,1766031240,1766031300,15.05,15.1,14.35,14.35
09:46:00,NIFTY25D2326150CE,14595330,1766031300,1766031360,14.35,14.35,13.8,14.05
09:47:00,NIFTY25D2326150CE,14595330,1766031360,1766031420,14.05,14.05,13.25,13.45
09:48:00,NIFTY25D2326150CE,14595330,1766031420,1766031480,13.45,13.7,13.25,13.45
09:49:00,NIFTY25D2326150CE,14595330,1766031480,1766031540,13.5,13.9,13.45,13.7
09:50:00,NIFTY25D2326150CE,14595330,1766031540,1766031600,13.7,13.85,13.55,13.75
09:51:00,NIFTY25D2326150CE,14595330,1766031600,1766031660,13.65,13.8,13.45,13.65
09:52:00,NIFTY25D2326150CE,14595330,1766031660,1766031720,13.65,14.05,13.65,13.8
09:53:00,NIFTY25D2326150CE,14595330,1766031720,1766031780,13.85,14.15,13.7,14.1
09:54:00,NIFTY25D2326150CE,14595330,1766031780,1766031840,14.1,14.1,13.8,13.8
09:55:00,NIFTY25D2326150CE,14595330,1766031840,1766031900,13.8,14.1,13.75,14.0
09:56:00,NIFTY25D2326150CE,14595330,1766031900,1766031960,14.1,14.15,13.9,14.05
09:57:00,NIFTY25D2326150CE,14595330,1766031960,1766032020,14.0,14.1,13.85,13.9
09:58:00,NIFTY25D2326150CE,14595330,1766032020,1766032080,14.0,14.0,13.75,13.9
09:59:00,NIFTY25D2326150CE,14595330,1766032080,1766032140,13.75,14.2,13.7,14.2
10:00:00,NIFTY25D2326150CE,14595330,1766032140,1766032200,14.25,14.6,13.95,14.0
10:01:00,NIFTY25D2326150CE,14595330,1766032200,1766032260,14.1,14.1,13.75,13.8
10:02:00,NIFTY25D2326150CE,14595330,1766032260,1766032320,13.85,14.25,13.8,13.9
10:03:00,NIFTY25D2326150CE,14595330,1766032320,1766032380,13.9,14.3,13.85,14.15
10:04:00,NIFTY25D2326150CE,14595330,1766032380,1766032440,13.9,14.05,13.9,14.0
10:05:00,NIFTY25D2326150CE,14595330,1766032440,1766032500,14.0,14.25,13.9,14.2
10:06:00,NIFTY25D2326150CE,14595330,1766032500,1766032560,14.25,14.6,14.1,14.45
10:07:00,NIFTY25D2326150CE,14595330,1766032560,1766032620,14.45,15.05,14.45,14.6
10:08:00,NIFTY25D2326150CE,14595330,1766032620,1766032680,14.6,14.8,14.35,14.75
10:09:00,NIFTY25D2326150CE,14595330,1766032680,1766032740,14.7,15.2,14.65,15.05
10:10:00,NIFTY25D2326150CE,14595330,1766032740,1766032800,15.15,15.5,15.05,15.4
10:11:00,NIFTY25D2326150CE,14595330,1766032800,1766032860,15.4,15.5,15.1,15.35
10:12:00,NIFTY25D2326150CE,14595330,1766032860,1766032920,15.35,17.1,15.2,16.85
10:13:00,NIFTY25D2326150CE,14595330,1766032920,1766032980,16.8,17.95,16.75,17.7
10:14:00,NIFTY25D2326150CE,14595330,1766032980,1766033040,17.6,18.1,17.1,17.25
10:15:00,NIFTY25D2326150CE,14595330,1766033040,1766033100,17.3,17.45,16.6,16.95
10:16:00,NIFTY25D2326150CE,14595330,1766033100,1766033160,16.85,17.15,16.1,16.7
10:17:00,NIFTY25D2326150CE,14595330,1766033160,1766033220,16.7,17.4,16.7,17.05
10:18:00,NIFTY25D2326150CE,14595330,1766033220,1766033280,17.05,19.9,16.7,19.1
10:19:00,NIFTY25D2326150CE,14595330,1766033280,1766033340,18.85,20.1,18.6,20.1
10:20:00,NIFTY25D2326150CE,14595330,1766033340,1766033400,20.15,22.45,19.7,22.45
10:21:00,NIFTY25D2326150CE,14595330,1766033400,1766033460,22.6,22.65,20.8,21.05
10:22:00,NIFTY25D2326150CE,14595330,1766033460,1766033520,21.2,21.95,20.35,21.8
10:23:00,NIFTY25D2326150CE,14595330,1766033520,1766033580,21.75,23.15,21.55,22.55
10:24:00,NIFTY25D2326150CE,14595330,1766033580,1766033640,22.6,26.05,22.1,25.55
10:25:00,NIFTY25D2326150CE,14595330,1766033640,1766033700,25.55,25.65,23.0,23.0
10:26:00,NIFTY25D2326150CE,14595330,1766033700,1766033760,23.2,23.4,22.4,22.5
10:27:00,NIFTY25D2326150CE,14595330,1766033760,1766033820,22.45,23.1,21.55,21.7
10:28:00,NIFTY25D2326150CE,14595330,1766033820,1766033880,21.5,22.1,21.1,21.8
10:29:00,NIFTY25D2326150CE,14595330,1766033880,1766033940,21.7,22.8,21.5,22.65
10:30:00,NIFTY25D2326150CE,14595330,1766033940,1766034000,22.75,23.1,22.2,22.35
10:31:00,NIFTY25D2326150CE,14595330,1766034000,1766034060,22.45,23.05,21.85,21.9
10:32:00,NIFTY25D2326150CE,14595330,1766034060,1766034120,22.2,24.2,22.0,23.6
10:33:00,NIFTY25D2326150CE,14595330,1766034120,1766034180,23.75,24.3,23.5,23.95
10:34:00,NIFTY25D2326150CE,14595330,1766034180,1766034240,24.05,25.2,24.05,25.1
10:35:00,NIFTY25D2326150CE,14595330,1766034240,1766034300,25.05,28.85,24.95,28.0
10:36:00,NIFTY25D2326150CE,14595330,1766034300,1766034360,27.95,27.95,25.35,25.45
10:37:00,NIFTY25D2326150CE,14595330,1766034360,1766034420,25.3,25.55,23.8,24.65
10:38:00,NIFTY25D2326150CE,14595330,1766034420,1766034480,24.55,26.0,24.55,24.65
10:39:00,NIFTY25D2326150CE,14595330,1766034480,1766034540,24.65,25.05,24.15,24.3
10:40:00,NIFTY25D2326150CE,14595330,1766034540,1766034600,24.35,25.2,24.05,25.05
10:41:00,NIFTY25D2326150CE,14595330,1766034600,1766034660,24.95,25.4,24.25,25.35
10:42:00,NIFTY25D2326150CE,14595330,1766034660,1766034720,25.35,26.2,25.25,25.95
10:43:00,NIFTY25D2326150CE,14595330,1766034720,1766034780,25.95,27.3,25.95,27.3
10:44:00,NIFTY25D2326150CE,14595330,1766034780,1766034840,27.4,27.75,25.8,25.95
10:45:00,NIFTY25D2326150CE,14595330,1766034840,1766034900,25.9,26.2,24.45,25.0
10:46:00,NIFTY25D2326150CE,14595330,1766034900,1766034960,24.9,26.3,24.9,26.15
10:47:00,NIFTY25D2326150CE,14595330,1766034960,1766035020,26.0,26.15,25.2,25.7
10:48:00,NIFTY25D2326150CE,14595330,1766035020,1766035080,25.75,26.35,25.05,26.15
10:49:00,NIFTY25D2326150CE,14595330,1766035080,1766035140,26.15,26.15,24.6,24.85
10:50:00,NIFTY25D2326150CE,14595330,1766035140,1766035200,24.8,25.2,24.05,24.35
10:51:00,NIFTY25D2326150CE,14595330,1766035200,1766035260,24.35,24.8,23.4,23.7
10:52:00,NIFTY25D2326150CE,14595330,1766035260,1766035320,23.8,24.0,23.1,23.4
10:53:00,NIFTY25D2326150CE,14595330,1766035320,1766035380,23.4,23.85,22.7,23.1
10:54:00,NIFTY25D2326150CE,14595330,1766035380,1766035440,23.05,24.35,22.3,24.25
10:55:00,NIFTY25D2326150CE,14595330,1766035440,1766035500,24.3,24.8,23.5,23.7
10:56:00,NIFTY25D2326150CE,14595330,1766035500,1766035560,23.8,24.45,22.9,23.25
10:57:00,NIFTY25D2326150CE,14595330,1766035560,1766035620,23.25,24.05,23.15,23.95
10:58:00,NIFTY25D2326150CE,14595330,1766035620,1766035680,23.95,24.7,23.55,24.5
10:59:00,NIFTY25D2326150CE,14595330,1766035680,1766035740,24.3,24.65,23.2,23.3
11:00:00,NIFTY25D2326150CE,14595330,1766035740,1766035800,23.3,24.6,23.3,24.5
11:01:00,NIFTY25D2326150CE,14595330,1766035800,1766035860,24.15,24.45,23.2,23.6
11:02:00,NIFTY25D2326150CE,14595330,1766035860,1766035920,23.5,24.25,23.1,23.9
11:03:00,NIFTY25D2326150CE,14595330,1766035920,1766035980,23.95,24.05,22.3,22.4
11:04:00,NIFTY25D2326150CE,14595330,1766035980,1766036040,22.45,22.55,21.45,21.45
11:05:00,NIFTY25D2326150CE,14595330,1766036040,1766036100,21.55,21.55,20.7,21.0
11:06:00,NIFTY25D2326150CE,14595330,1766036100,1766036160,21.25,22.2,21.2,21.7
11:07:00,NIFTY25D2326150CE,14595330,1766036160,1766036220,21.55,22.55,21.35,21.9
11:08:00,NIFTY25D2326150CE,14595330,1766036220,1766036280,21.8,21.8,20.65,21.1
11:09:00,NIFTY25D2326150CE,14595330,1766036280,1766036340,21.0,22.45,20.75,22.45
11:10:00,NIFTY25D2326150CE,14595330,1766036340,1766036400,22.5,23.05,22.0,22.15
11:11:00,NIFTY25D2326150CE,14595330,1766036400,1766036460,22.0,22.25,20.95,21.35
11:12:00,NIFTY25D2326150CE,14595330,1766036460,1766036520,21.35,22.45,21.3,21.85
11:13:00,NIFTY25D2326150CE,14595330,1766036520,1766036580,21.7,21.8,20.85,21.3
11:14:00,NIFTY25D2326150CE,14595330,1766036580,1766036640,21.3,21.7,20.75,20.85
11:15:00,NIFTY25D2326150CE,14595330,1766036640,1766036700,20.95,21.5,20.4,20.8
11:16:00,NIFTY25D2326150CE,14595330,1766036700,1766036760,20.65,20.7,19.75,20.5
11:17:00,NIFTY25D2326150CE,14595330,1766036760,1766036820,20.55,20.6,19.1,20.1
11:18:00,NIFTY25D2326150CE,14595330,1766036820,1766036880,20.1,20.45,19.75,20.0
11:19:00,NIFTY25D2326150CE,14595330,1766036880,1766036940,20.0,20.5,19.6,20.25
11:20:00,NIFTY25D2326150CE,14595330,1766036940,1766037000,20.3,20.85,19.45,20.0
11:21:00,NIFTY25D2326150CE,14595330,1766037000,1766037060,19.95,21.65,19.85,21.5
11:22:00,NIFTY25D2326150CE,14595330,1766037060,1766037120,21.6,22.75,21.55,22.15
11:23:00,NIFTY25D2326150CE,14595330,1766037120,1766037180,22.2,23.4,22.15,23.4
11:24:00,NIFTY25D2326150CE,14595330,1766037180,1766037240,23.7,23.7,22.85,23.2
11:25:00,NIFTY25D2326150CE,14595330,1766037240,1766037300,23.25,24.6,23.25,24.3
11:26:00,NIFTY25D2326150CE,14595330,1766037300,1766037360,24.3,25.35,23.8,24.7
11:27:00,NIFTY25D2326150CE,14595330,1766037360,1766037420,24.65,24.65,23.5,23.85
11:28:00,NIFTY25D2326150CE,14595330,1766037420,1766037480,24.0,24.45,23.75,24.05
11:29:00,NIFTY25D2326150CE,14595330,1766037480,1766037540,24.0,24.05,22.6,23.55
11:30:00,NIFTY25D2326150CE,14595330,1766037540,1766037600,23.6,24.55,23.45,24.4
11:31:00,NIFTY25D2326150CE,14595330,1766037600,1766037660,24.5,25.45,24.4,24.8
11:32:00,NIFTY25D2326150CE,14595330,1766037660,1766037720,24.8,24.95,23.8,23.9
11:33:00,NIFTY25D2326150CE,14595330,1766037720,1766037780,23.9,24.95,23.45,24.95
11:34:00,NIFTY25D2326150CE,14595330,1766037780,1766037840,24.9,25.3,23.95,24.25
11:35:00,NIFTY25D2326150CE,14595330,1766037840,1766037900,24.2,24.3,23.8,23.85
11:36:00,NIFTY25D2326150CE,14595330,1766037900,1766037960,23.95,23.95,22.75,22.95
11:37:00,NIFTY25D2326150CE,14595330,1766037960,1766038020,23.55,23.7,23.25,23.6
11:38:00,NIFTY25D2326150CE,14595330,1766038020,1766038080,23.55,24.65,23.25,23.75
11:39:00,NIFTY25D2326150CE,14595330,1766038080,1766038140,23.8,24.95,23.65,24.85
11:40:00,NIFTY25D2326150CE,14595330,1766038140,1766038200,24.85,25.15,24.55,24.6
11:41:00,NIFTY25D2326150CE,14595330,1766038200,1766038260,24.5,24.55,23.6,24.2
11:42:00,NIFTY25D2326150CE,14595330,1766038260,1766038320,24.2,24.2,23.35,23.55
11:43:00,NIFTY25D2326150CE,14595330,1766038320,1766038380,23.55,23.7,23.2,23.6
11:44:00,NIFTY25D2326150CE,14595330,1766038380,1766038440,23.6,23.7,22.3,22.55
11:45:00,NIFTY25D2326150CE,14595330,1766038440,1766038500,22.55,22.85,22.2,22.4
11:46:00,NIFTY25D2326150CE,14595330,1766038500,1766038560,22.4,22.8,21.55,21.9
11:47:00,NIFTY25D2326150CE,14595330,1766038560,1766038620,21.85,22.3,21.7,21.95
11:48:00,NIFTY25D2326150CE,14595330,1766038620,1766038680,21.95,22.8,21.4,22.45
11:49:00,NIFTY25D2326150CE,14595330,1766038680,1766038740,22.35,23.0,22.0,22.25
11:50:00,NIFTY25D2326150CE,14595330,1766038740,1766038800,22.3,22.75,22.0,22.45
11:51:00,NIFTY25D2326150CE,14595330,1766038800,1766038860,22.45,23.4,22.1,23.4
11:52:00,NIFTY25D2326150CE,14595330,1766038860,1766038920,23.25,24.0,22.95,23.5
11:53:00,NIFTY25D2326150CE,14595330,1766038920,1766038980,23.5,24.95,23.4,24.75
11:54:00,NIFTY25D2326150CE,14595330,1766038980,1766039040,24.85,25.8,24.45,25.2
11:55:00,NIFTY25D2326150CE,14595330,1766039040,1766039100,25.1,26.75,25.05,25.5
