trade_id,symbol,entry_time,direction,option_type,entry_fut_px,entry_rsi,strike,entry_opt_px,init_sl_dist,dyn_threshold,st_flip_exit,st_flip_fut_pnl,st_flip_opt_pnl,st_flip_bars,bos_exit,bos_fut_pnl,bos_opt_pnl,bos_bars,range_exit,range_fut_pnl,range_opt_pnl,range_bars,st20_exit,st20_fut_pnl,st20_opt_pnl,st20_bars,st30_exit,st30_fut_pnl,st30_opt_pnl,st30_bars,momentum_v1_exit,momentum_v1_fut_pnl,momentum_v1_opt_pnl,momentum_v1_bars,rsi_exhaust_exit,rsi_exhaust_fut_pnl,rsi_exhaust_opt_pnl,rsi_exhaust_bars,swing_bos_exit,swing_bos_fut_pnl,swing_bos_opt_pnl,swing_bos_bars,tiered_exit,tiered_fut_pnl,tiered_opt_pnl,tiered_bars
40,BANKNIFTY26APRFUT,2026-03-11 14:27,SHORT,PE,56454.0,34.03,52700,562.83,145.59,72.79,2026-03-11 14:30,-251.6,-45.68,1,2026-03-11 14:30,-251.6,-45.68,1,2026-03-11 14:30,-251.6,-45.68,1,2026-03-11 14:30,-251.6,-45.68,1,2026-03-11 14:30,-251.6,-45.68,1,2026-03-11 14:30,-251.6,-45.68,1,2026-03-11 14:30,-251.6,-45.68,1,2026-03-11 14:30,-251.6,-45.68,1,2026-03-11 14:30,-251.6,-45.68,1
41,BANKNIFTY26APRFUT,2026-03-11 15:09,SHORT,PE,56303.8,34.03,52600,569.55,192.72,96.36,2026-03-11 15:27,15.6,2.82,6,2026-03-11 15:27,15.6,2.82,6,2026-03-11 15:27,15.6,2.82,6,2026-03-11 15:27,15.6,2.82,6,2026-03-11 15:27,15.6,2.82,6,2026-03-11 15:27,15.6,2.82,6,2026-03-11 15:27,15.6,2.82,6,2026-03-11 15:27,15.6,2.82,6,2026-03-11 15:27,15.6,2.82,6
42,BANKNIFTY26APRFUT,2026-03-12 09:18,SHORT,PE,55401.0,13.14,51800,560.66,476.35,238.17,2026-03-12 09:57,-349.0,-63.88,13,2026-03-12 09:24,-125.0,-23.54,2,2026-03-12 09:57,-349.0,-63.88,13,2026-03-12 09:57,-349.0,-63.88,13,2026-03-12 09:57,-349.0,-63.88,13,2026-03-12 09:51,-224.6,-41.9,11,2026-03-12 09:57,-349.0,-63.88,13,2026-03-12 09:57,-349.0,-63.88,13,2026-03-12 09:51,-224.6,-41.9,11
43,BANKNIFTY26APRFUT,2026-03-12 14:51,SHORT,PE,55700.2,31.07,52100,565.24,220.64,110.32,2026-03-12 15:27,-93.2,-17.97,12,2026-03-12 15:00,-14.8,-2.91,3,2026-03-12 15:27,-93.2,-17.97,12,2026-03-12 15:27,-93.2,-17.97,12,2026-03-12 15:18,-89.8,-17.26,9,2026-03-12 15:09,-18.0,-3.6,6,2026-03-12 15:06,-61.6,-11.86,5,2026-03-12 15:27,-93.2,-17.97,12,2026-03-12 15:06,-61.6,-11.86,5
44,BANKNIFTY26APRFUT,2026-03-13 09:18,SHORT,PE,55240.0,21.91,51700,557.8,316.39,158.2,2026-03-13 10:54,440.0,89.28,32,2026-03-13 09:30,123.2,24.03,4,2026-03-13 09:21,139.0,27.27,1,2026-03-13 10:54,440.0,89.28,32,2026-03-13 10:54,440.0,89.28,32,2026-03-13 09:33,132.2,25.8,5,2026-03-13 10:54,440.0,89.28,32,2026-03-13 10:54,440.0,89.28,32,2026-03-13 09:33,132.2,25.8,5
45,BANKNIFTY26APRFUT,2026-03-13 12:24,SHORT,PE,54501.0,28.21,51100,568.86,200.55,100.27,2026-03-13 12:51,-16.6,-3.51,9,2026-03-13 12:48,54.0,10.56,8,2026-03-13 12:33,44.2,8.72,3,2026-03-13 12:51,-16.6,-3.51,9,2026-03-13 12:51,-16.6,-3.51,9,2026-03-13 12:48,54.0,10.56,8,2026-03-13 12:51,-16.6,-3.51,9,2026-03-13 12:51,-16.6,-3.51,9,2026-03-13 12:48,54.0,10.56,8
46,BANKNIFTY26APRFUT,2026-03-13 13:42,SHORT,PE,54295.8,34.99,50900,564.37,150.91,75.46,2026-03-13 14:09,-131.2,-25.62,9,2026-03-13 13:45,-51.4,-10.09,1,2026-03-13 14:09,-131.2,-25.62,9,2026-03-13 14:09,-131.2,-25.62,9,2026-03-13 14:09,-131.2,-25.62,9,2026-03-13 14:09,-131.2,-25.62,9,2026-03-13 13:45,-51.4,-10.09,1,2026-03-13 14:09,-131.2,-25.62,9,2026-03-13 13:45,-51.4,-10.09,1
47,BANKNIFTY26APRFUT,2026-03-17 15:00,LONG,CE,55443.6,74.13,60100,560.05,215.97,107.98,2026-03-17 15:27,-78.8,-16.95,9,2026-03-17 15:12,-153.4,-32.15,4,2026-03-17 15:03,-123.6,-25.94,1,2026-03-17 15:27,-78.8,-16.95,9,2026-03-17 15:27,-78.8,-16.95,9,2026-03-17 15:27,-78.8,-16.95,9,2026-03-17 15:12,-153.4,-32.15,4,2026-03-17 15:27,-78.8,-16.95,9,2026-03-17 15:12,-153.4,-32.15,4
48,BANKNIFTY26APRFUT,2026-03-18 11:39,LONG,CE,55741.0,74.17,60400,551.72,171.64,85.82,2026-03-18 12:27,-129.8,-27.53,16,2026-03-18 11:48,18.6,3.83,3,2026-03-18 12:27,-129.8,-27.53,16,2026-03-18 12:27,-129.8,-27.53,16,2026-03-18 12:27,-129.8,-27.53,16,2026-03-18 11:54,-15.4,-3.44,5,2026-03-18 12:24,-9.0,-2.46,15,2026-03-18 12:27,-129.8,-27.53,16,2026-03-18 11:54,-15.4,-3.44,5
49,BANKNIFTY26APRFUT,2026-03-18 13:45,LONG,CE,55900.0,72.45,60500,565.27,137.9,68.95,2026-03-18 14:39,-34.2,-8.01,18,2026-03-18 14:06,-70.0,-15.18,7,2026-03-18 13:48,-69.0,-14.74,1,2026-03-18 14:36,-12.4,-3.31,17,2026-03-18 14:36,-12.4,-3.31,17,2026-03-18 14:06,-70.0,-15.18,7,2026-03-18 14:06,-70.0,-15.18,7,2026-03-18 14:39,-34.2,-8.01,18,2026-03-18 14:06,-70.0,-15.18,7
50,BANKNIFTY26APRFUT,2026-03-19 09:18,SHORT,PE,54311.8,8.39,51200,554.07,475.7,237.85,2026-03-19 10:39,42.6,8.02,27,2026-03-19 09:24,-129.6,-26.09,2,2026-03-19 09:21,113.6,23.64,1,2026-03-19 10:33,101.8,20.46,25,2026-03-19 10:33,101.8,20.46,25,2026-03-19 10:09,192.0,39.98,17,2026-03-19 10:39,42.6,8.02,27,2026-03-19 10:39,42.6,8.02,27,2026-03-19 10:09,192.0,39.98,17
51,BANKNIFTY26APRFUT,2026-03-19 14:06,SHORT,PE,54179.4,29.16,51100,555.71,129.92,64.96,2026-03-19 15:21,20.8,3.59,25,2026-03-19 14:18,-54.6,-11.27,4,2026-03-19 14:18,-54.6,-11.27,4,2026-03-19 14:18,-54.6,-11.27,4,2026-03-19 14:18,-54.6,-11.27,4,2026-03-19 14:21,2.2,0.31,5,2026-03-19 14:18,-54.6,-11.27,4,2026-03-19 15:21,20.8,3.59,25,2026-03-19 14:18,-54.6,-11.27,4
52,BANKNIFTY26APRFUT,2026-03-20 09:21,LONG,CE,54760.0,73.33,59100,552.43,382.29,191.15,2026-03-20 10:09,-206.4,-44.29,16,2026-03-20 09:39,15.8,3.23,6,2026-03-20 10:09,-206.4,-44.29,16,2026-03-20 10:03,-172.6,-37.25,14,2026-03-20 10:03,-172.6,-37.25,14,2026-03-20 09:42,-16.0,-3.75,7,2026-03-20 09:54,-123.2,-26.82,11,2026-03-20 10:09,-206.4,-44.29,16,2026-03-20 09:42,-16.0,-3.75,7
53,BANKNIFTY26APRFUT,2026-03-23 09:18,SHORT,PE,52632.6,15.5,49900,548.67,829.6,414.8,2026-03-23 11:09,415.6,95.03,37,2026-03-23 09:24,-121.0,-25.78,2,2026-03-23 11:09,415.6,95.03,37,2026-03-23 11:09,415.6,95.03,37,2026-03-23 11:09,415.6,95.03,37,2026-03-23 10:09,283.6,63.76,17,2026-03-23 11:09,415.6,95.03,37,2026-03-23 11:09,415.6,95.03,37,2026-03-23 10:09,283.6,63.76,17
54,BANKNIFTY26APRFUT,2026-03-23 14:36,SHORT,PE,51982.0,31.03,49400,567.24,234.68,117.34,2026-03-23 14:51,-253.0,-54.81,5,2026-03-23 14:39,-122.6,-27.08,1,2026-03-23 14:39,-122.6,-27.08,1,2026-03-23 14:51,-253.0,-54.81,5,2026-03-23 14:45,-204.8,-44.68,3,2026-03-23 14:51,-253.0,-54.81,5,2026-03-23 14:39,-122.6,-27.08,1,2026-03-23 14:51,-253.0,-54.81,5,2026-03-23 14:39,-122.6,-27.08,1
55,BANKNIFTY26APRFUT,2026-03-24 12:42,LONG,CE,53010.4,70.98,56700,560.26,265.16,132.58,2026-03-24 13:06,-110.4,-25.87,8,2026-03-24 12:57,88.4,20.89,5,2026-03-24 13:06,-110.4,-25.87,8,2026-03-24 13:06,-110.4,-25.87,8,2026-03-24 13:06,-110.4,-25.87,8,2026-03-24 13:00,74.6,17.51,6,2026-03-24 13:06,-110.4,-25.87,8,2026-03-24 13:06,-110.4,-25.87,8,2026-03-24 13:00,74.6,17.51,6
56,BANKNIFTY26APRFUT,2026-03-25 09:18,LONG,CE,53780.0,84.75,57500,556.11,444.72,222.36,2026-03-25 11:27,435.8,106.8,43,2026-03-25 09:39,50.0,11.47,7,2026-03-25 09:45,233.8,56.19,9,2026-03-25 11:24,470.0,115.98,42,2026-03-25 11:24,470.0,115.98,42,2026-03-25 09:42,45.2,10.29,8,2026-03-25 11:27,435.8,106.8,43,2026-03-25 11:27,435.8,106.8,43,2026-03-25 09:42,45.2,10.29,8
