date,dow,class,spot_bars,covered,skip_reason,expected_expiry,corpus_expiries,atm_prem,sel_ce,sel_pe,pick_printrate
2023-01-02,Mon,TRADEABLE,375,True,,2023-01-05,,114.3,1,2,1.0
2023-01-03,Tue,TRADEABLE,375,True,,2023-01-05,,90.8,2,2,1.0
2023-01-04,Wed,TRADEABLE,375,True,,2023-01-05,,61.4,2,2,1.0
2023-01-05,Thu,TRADEABLE,375,True,,2023-01-05,,33.9,2,1,1.0
2023-01-06,Fri,TRADEABLE,374,True,,2023-01-12,,131.2,2,2,1.0
2023-01-09,Mon,TRADEABLE,375,True,,2023-01-12,,97.9,1,2,1.0
2023-01-10,Tue,TRADEABLE,375,True,,2023-01-12,,86.9,2,1,1.0
2023-01-11,Wed,TRADEABLE,375,True,,2023-01-12,,92.2,2,1,1.0
2023-01-12,Thu,TRADEABLE,375,True,,2023-01-12,,36.4,1,1,1.0
2023-01-13,Fri,TRADEABLE,374,True,,2023-01-19,,127.4,2,2,1.0
2023-01-16,Mon,TRADEABLE,375,True,,2023-01-19,,94.0,2,2,1.0
2023-01-17,Tue,TRADEABLE,375,True,,2023-01-19,,89.6,2,2,1.0
2023-01-18,Wed,TRADEABLE,375,True,,2023-01-19,,68.3,1,1,1.0
2023-01-19,Thu,TRADEABLE,375,True,,2023-01-19,,34.8,2,1,1.0
2023-01-20,Fri,TRADEABLE,375,True,,2023-01-26,,103.0,2,1,1.0
2023-01-23,Mon,TRADEABLE,375,True,,2023-01-26,,100.0,1,2,1.0
2023-01-24,Tue,TRADEABLE,375,True,,2023-01-26,,56.4,1,1,1.0
2023-01-25,Wed,TRADEABLE,375,True,,2023-01-26,,37.0,1,1,1.0
2023-01-26,Thu,NO_SPOT,0,,,2023-01-26,,,,,
2023-01-27,Fri,TRADEABLE,374,True,,2023-02-02,,199.0,2,2,1.0
2023-01-30,Mon,TRADEABLE,375,True,,2023-02-02,,188.5,2,2,1.0
2023-01-31,Tue,TRADEABLE,375,True,,2023-02-02,,163.8,2,2,1.0
2023-02-01,Wed,TRADEABLE,375,True,,2023-02-02,,122.8,2,2,1.0
2023-02-02,Thu,TRADEABLE,374,True,,2023-02-02,,36.9,1,1,1.0
2023-02-03,Fri,TRADEABLE,375,True,,2023-02-09,,134.4,2,2,1.0
2023-02-06,Mon,TRADEABLE,375,True,,2023-02-09,,121.8,2,2,1.0
2023-02-07,Tue,TRADEABLE,375,True,,2023-02-09,,98.8,1,2,1.0
2023-02-08,Wed,TRADEABLE,375,True,,2023-02-09,,58.0,2,1,1.0
2023-02-09,Thu,TRADEABLE,375,True,,2023-02-09,,31.9,1,1,1.0
2023-02-10,Fri,TRADEABLE,374,True,,2023-02-16,,107.7,2,1,1.0
2023-02-13,Mon,TRADEABLE,375,True,,2023-02-16,,102.2,1,2,1.0
2023-02-14,Tue,TRADEABLE,375,True,,2023-02-16,,66.2,2,2,1.0
2023-02-15,Wed,TRADEABLE,375,True,,2023-02-16,,45.5,1,1,1.0
