log_ts	candle_ts	symbol	slot	open	high	low	close	ema8	ema20_low	ema20_high	rsi	cond_all	buy_allowed	signal
15:54:27	14:07:00	NIFTY25D2325450PE	14584578	4.40	4.40	4.40	4.40	4.48	4.39	4.53	48.33	False	False	
15:54:27	14:07:00	NIFTY25D2325850PE	14590722	30.65	30.65	30.65	30.65	31.01	31.45	32.29	29.57	False	False	
15:54:27	14:07:00	NIFTY25D2325550PE	14585602	5.80	5.80	5.80	5.80	5.74	5.44	5.61	84.89	False	False	
15:54:27	14:07:00	NIFTY25D2326200PE	14597378	225.05	225.05	225.05	225.05	227.75	232.16	234.84	16.42	False	False	
15:54:27	14:07:00	NIFTY25D2326750CE	14603266	1.05	1.05	1.05	1.05	1.05	1.06	1.11	42.61	False	False	
15:54:27	14:07:00	NIFTY25D2325750PE	14589186	15.50	15.50	15.50	15.50	15.65	15.54	15.98	33.57	False	False	
15:54:27	14:07:00	NIFTY25D2325650CE	14587906	343.20	343.20	343.20	343.20	341.14	334.81	337.53	81.04	False	False	
15:54:27	14:07:00	NIFTY25D2326350PE	14599426	368.20	368.20	368.20	368.20	370.31	374.34	376.30	14.59	False	False	
15:54:27	14:07:00	NIFTY25D2326150CE	14595330	19.25	19.25	19.25	19.25	19.13	18.81	19.33	62.70	False	False	
15:54:27	14:07:00	NIFTY25D2326150PE	14596866	183.25	183.25	183.25	183.25	185.45	189.33	191.90	13.81	False	False	
15:54:27	14:07:00	NIFTY25D2326250PE	14598146	274.00	274.00	274.00	274.00	275.41	277.88	280.54	27.45	False	False	
15:54:27	14:07:00	NIFTY25D2325900PE	14592514	43.20	43.20	43.20	43.20	43.81	44.78	45.91	24.45	False	False	
15:54:27	14:07:00	NIFTY25D2325400PE	14584066	4.10	4.10	4.10	4.10	4.12	4.03	4.17	50.14	False	False	
15:54:27	14:07:00	NIFTY25D2326500PE	14600962	517.95	517.95	517.95	517.95	519.64	522.44	524.84	22.03	False	False	
15:54:27	14:07:00	NIFTY25D2325600PE	14586114	6.80	6.80	6.80	6.80	6.77	6.47	6.66	61.14	False	False	
15:54:27	14:07:00	NIFTY25D2325500PE	14585090	5.10	5.10	5.10	5.10	5.09	4.89	5.04	56.68	False	False	
15:54:27	14:07:00	NIFTY25D2326000PE	14594050	82.75	82.75	82.75	82.75	84.03	86.44	88.19	17.95	False	False	
