candle_time,symbol,instrument_token,start_ts,end_ts,open,high,low,close
09:07:00,NIFTY25D2325650CE,14587906,1766028960,1766029020,250.0,250.0,250.0,250.0
09:13:00,NIFTY25D2325650CE,14587906,1766029320,1766029380,250.0,250.0,250.0,250.0
09:16:00,NIFTY25D2325650CE,14587906,1766029500,1766029560,250.0,250.0,200.9,200.95
09:17:00,NIFTY25D2325650CE,14587906,1766029560,1766029620,199.25,209.05,197.5,206.05
09:18:00,NIFTY25D2325650CE,14587906,1766029620,1766029680,206.2,212.65,204.05,209.85
09:19:00,NIFTY25D2325650CE,14587906,1766029680,1766029740,211.55,214.75,208.55,210.45
09:20:00,NIFTY25D2325650CE,14587906,1766029740,1766029800,210.25,216.3,204.9,206.75
09:29:00,NIFTY25D2325650CE,14587906,1766030280,1766030340,217.45,218.8,209.5,215.4
09:30:00,NIFTY25D2325650CE,14587906,1766030340,1766030400,214.3,219.55,211.95,211.95
09:31:00,NIFTY25D2325650CE,14587906,1766030400,1766030460,211.75,218.55,209.6,218.0
09:32:00,NIFTY25D2325650CE,14587906,1766030460,1766030520,216.55,220.4,212.85,218.45
09:33:00,NIFTY25D2325650CE,14587906,1766030520,1766030580,218.4,219.7,209.25,212.05
09:34:00,NIFTY25D2325650CE,14587906,1766030580,1766030640,212.05,212.4,204.15,210.8
09:35:00,NIFTY25D2325650CE,14587906,1766030640,1766030700,210.85,214.35,207.75,211.0
09:36:00,NIFTY25D2325650CE,14587906,1766030700,1766030760,211.0,211.0,203.0,203.4
09:37:00,NIFTY25D2325650CE,14587906,1766030760,1766030820,202.8,213.45,202.8,213.45
09:38:00,NIFTY25D2325650CE,14587906,1766030820,1766030880,214.3,216.75,209.95,212.8
09:39:00,NIFTY25D2325650CE,14587906,1766030880,1766030940,213.05,215.5,208.0,208.55
09:40:00,NIFTY25D2325650CE,14587906,1766030940,1766031000,205.6,210.2,205.6,206.0
09:41:00,NIFTY25D2325650CE,14587906,1766031000,1766031060,205.6,206.3,200.8,204.0
09:42:00,NIFTY25D2325650CE,14587906,1766031060,1766031120,204.55,208.0,198.35,199.25
09:43:00,NIFTY25D2325650CE,14587906,1766031120,1766031180,199.3,200.65,189.55,190.0
09:44:00,NIFTY25D2325650CE,14587906,1766031180,1766031240,190.85,194.2,187.8,192.9
09:45:00,NIFTY25D2325650CE,14587906,1766031240,1766031300,192.35,192.35,183.8,183.8
09:46:00,NIFTY25D2325650CE,14587906,1766031300,1766031360,183.8,185.9,178.8,185.15
09:47:00,NIFTY25D2325650CE,14587906,1766031360,1766031420,185.3,185.4,174.0,175.6
09:48:00,NIFTY25D2325650CE,14587906,1766031420,1766031480,175.6,180.0,173.25,177.25
09:49:00,NIFTY25D2325650CE,14587906,1766031480,1766031540,177.25,181.2,177.25,180.15
09:50:00,NIFTY25D2325650CE,14587906,1766031540,1766031600,179.15,181.6,178.65,179.6
09:51:00,NIFTY25D2325650CE,14587906,1766031600,1766031660,179.6,181.45,177.05,180.35
09:52:00,NIFTY25D2325650CE,14587906,1766031660,1766031720,180.35,183.85,179.6,180.5
09:53:00,NIFTY25D2325650CE,14587906,1766031720,1766031780,180.6,185.45,179.9,184.8
09:54:00,NIFTY25D2325650CE,14587906,1766031780,1766031840,184.2,185.35,181.85,182.65
09:55:00,NIFTY25D2325650CE,14587906,1766031840,1766031900,182.65,185.3,180.95,184.95
09:56:00,NIFTY25D2325650CE,14587906,1766031900,1766031960,186.0,186.8,183.6,185.7
09:57:00,NIFTY25D2325650CE,14587906,1766031960,1766032020,185.65,186.25,180.95,182.15
09:58:00,NIFTY25D2325650CE,14587906,1766032020,1766032080,182.95,182.95,179.85,181.05
09:59:00,NIFTY25D2325650CE,14587906,1766032080,1766032140,180.6,185.05,178.6,185.05
10:00:00,NIFTY25D2325650CE,14587906,1766032140,1766032200,185.05,189.35,182.45,183.6
10:01:00,NIFTY25D2325650CE,14587906,1766032200,1766032260,183.95,184.6,180.8,180.8
10:02:00,NIFTY25D2325650CE,14587906,1766032260,1766032320,181.25,185.9,181.25,181.95
10:03:00,NIFTY25D2325650CE,14587906,1766032320,1766032380,182.25,187.75,181.95,185.7
10:04:00,NIFTY25D2325650CE,14587906,1766032380,1766032440,182.65,184.4,182.65,184.3
10:05:00,NIFTY25D2325650CE,14587906,1766032440,1766032500,183.95,186.95,182.5,186.6
10:06:00,NIFTY25D2325650CE,14587906,1766032500,1766032560,186.6,190.55,185.4,188.85
10:07:00,NIFTY25D2325650CE,14587906,1766032560,1766032620,188.5,194.35,188.5,190.45
10:08:00,NIFTY25D2325650CE,14587906,1766032620,1766032680,190.45,192.8,188.15,192.7
10:09:00,NIFTY25D2325650CE,14587906,1766032680,1766032740,192.05,199.1,191.8,198.35
10:10:00,NIFTY25D2325650CE,14587906,1766032740,1766032800,198.0,201.7,198.0,201.6
10:11:00,NIFTY25D2325650CE,14587906,1766032800,1766032860,201.65,203.4,198.6,201.35
10:12:00,NIFTY25D2325650CE,14587906,1766032860,1766032920,201.35,214.6,200.15,212.45
10:13:00,NIFTY25D2325650CE,14587906,1766032920,1766032980,213.45,222.3,212.65,220.55
10:14:00,NIFTY25D2325650CE,14587906,1766032980,1766033040,219.0,225.3,218.9,221.2
10:15:00,NIFTY25D2325650CE,14587906,1766033040,1766033100,221.5,223.0,215.8,218.9
10:16:00,NIFTY25D2325650CE,14587906,1766033100,1766033160,218.1,219.65,212.15,217.2
10:17:00,NIFTY25D2325650CE,14587906,1766033160,1766033220,217.25,222.1,216.9,219.3
10:18:00,NIFTY25D2325650CE,14587906,1766033220,1766033280,219.3,240.5,216.05,234.25
10:19:00,NIFTY25D2325650CE,14587906,1766033280,1766033340,233.3,242.4,231.25,242.4
10:20:00,NIFTY25D2325650CE,14587906,1766033340,1766033400,242.0,248.35,238.5,248.0
10:21:00,NIFTY25D2325650CE,14587906,1766033400,1766033460,250.8,252.85,241.8,244.5
10:22:00,NIFTY25D2325650CE,14587906,1766033460,1766033520,244.3,248.1,240.05,248.0
10:23:00,NIFTY25D2325650CE,14587906,1766033520,1766033580,247.15,253.4,247.15,251.2
10:24:00,NIFTY25D2325650CE,14587906,1766033580,1766033640,251.35,265.0,249.7,264.1
