candle_time,symbol,instrument_token,start_ts,end_ts,open,high,low,close
09:07:00,NIFTY25D2325950CE,14592770,1766028960,1766029020,76.2,76.2,76.2,76.2
09:13:00,NIFTY25D2325950CE,14592770,1766029320,1766029380,76.2,76.2,76.2,76.2
09:16:00,NIFTY25D2325950CE,14592770,1766029500,1766029560,63.05,65.05,52.35,52.5
09:17:00,NIFTY25D2325950CE,14592770,1766029560,1766029620,51.7,54.4,50.4,54.05
09:18:00,NIFTY25D2325950CE,14592770,1766029620,1766029680,53.7,56.4,53.25,55.4
09:19:00,NIFTY25D2325950CE,14592770,1766029680,1766029740,56.2,57.65,54.8,55.2
09:20:00,NIFTY25D2325950CE,14592770,1766029740,1766029800,55.2,57.95,53.3,54.05
09:29:00,NIFTY25D2325950CE,14592770,1766030280,1766030340,57.9,58.1,54.65,56.25
09:30:00,NIFTY25D2325950CE,14592770,1766030340,1766030400,56.55,58.6,54.9,54.9
09:31:00,NIFTY25D2325950CE,14592770,1766030400,1766030460,55.05,57.9,54.35,57.0
09:32:00,NIFTY25D2325950CE,14592770,1766030460,1766030520,56.9,58.55,55.5,57.7
09:33:00,NIFTY25D2325950CE,14592770,1766030520,1766030580,57.5,58.15,54.0,54.8
09:34:00,NIFTY25D2325950CE,14592770,1766030580,1766030640,54.65,55.05,51.8,54.35
09:35:00,NIFTY25D2325950CE,14592770,1766030640,1766030700,54.25,56.0,52.9,54.5
09:36:00,NIFTY25D2325950CE,14592770,1766030700,1766030760,54.5,54.6,51.5,51.55
09:37:00,NIFTY25D2325950CE,14592770,1766030760,1766030820,51.8,56.35,51.8,56.35
09:38:00,NIFTY25D2325950CE,14592770,1766030820,1766030880,56.7,57.15,54.3,55.3
09:39:00,NIFTY25D2325950CE,14592770,1766030880,1766030940,55.7,56.55,53.65,53.8
09:40:00,NIFTY25D2325950CE,14592770,1766030940,1766031000,53.65,54.5,52.9,52.9
09:41:00,NIFTY25D2325950CE,14592770,1766031000,1766031060,52.4,52.85,51.15,52.0
09:42:00,NIFTY25D2325950CE,14592770,1766031060,1766031120,52.5,53.6,50.0,50.3
09:43:00,NIFTY25D2325950CE,14592770,1766031120,1766031180,50.35,50.65,46.55,46.8
09:44:00,NIFTY25D2325950CE,14592770,1766031180,1766031240,46.65,48.0,46.0,47.65
09:45:00,NIFTY25D2325950CE,14592770,1766031240,1766031300,47.6,47.6,44.75,44.75
09:46:00,NIFTY25D2325950CE,14592770,1766031300,1766031360,44.8,45.0,42.9,44.85
09:47:00,NIFTY25D2325950CE,14592770,1766031360,1766031420,44.9,44.9,41.5,42.2
