candle_time,symbol,instrument_token,start_ts,end_ts,open,high,low,close
09:07:00,NIFTY25D2326600CE,14601730,1766028960,1766029020,3.7,3.7,3.7,3.7
09:24:00,NIFTY25D2326600CE,14601730,1766029980,1766030040,2.95,3.0,2.9,3.0
09:29:00,NIFTY25D2326600CE,14601730,1766030280,1766030340,3.1,3.1,3.0,3.1
09:30:00,NIFTY25D2326600CE,14601730,1766030340,1766030400,3.1,3.15,3.0,3.1
09:31:00,NIFTY25D2326600CE,14601730,1766030400,1766030460,3.1,3.2,3.05,3.2
09:32:00,NIFTY25D2326600CE,14601730,1766030460,1766030520,3.2,3.2,3.05,3.05
09:33:00,NIFTY25D2326600CE,14601730,1766030520,1766030580,3.1,3.1,3.0,3.0
09:34:00,NIFTY25D2326600CE,14601730,1766030580,1766030640,3.0,3.0,2.9,2.95
09:35:00,NIFTY25D2326600CE,14601730,1766030640,1766030700,2.95,3.05,2.95,3.05
09:36:00,NIFTY25D2326600CE,14601730,1766030700,1766030760,3.05,3.05,2.95,3.0
09:37:00,NIFTY25D2326600CE,14601730,1766030760,1766030820,3.0,3.05,3.0,3.0
09:38:00,NIFTY25D2326600CE,14601730,1766030820,1766030880,3.0,3.05,2.95,3.0
09:39:00,NIFTY25D2326600CE,14601730,1766030880,1766030940,2.95,3.0,2.95,2.95
09:40:00,NIFTY25D2326600CE,14601730,1766030940,1766031000,3.0,3.0,2.95,3.0
09:41:00,NIFTY25D2326600CE,14601730,1766031000,1766031060,3.0,3.15,3.0,3.1
09:42:00,NIFTY25D2326600CE,14601730,1766031060,1766031120,3.1,3.15,3.1,3.1
09:43:00,NIFTY25D2326600CE,14601730,1766031120,1766031180,3.1,3.2,3.1,3.2
09:44:00,NIFTY25D2326600CE,14601730,1766031180,1766031240,3.2,3.25,3.15,3.25
09:45:00,NIFTY25D2326600CE,14601730,1766031240,1766031300,3.2,3.25,3.15,3.25
09:46:00,NIFTY25D2326600CE,14601730,1766031300,1766031360,3.25,3.25,3.1,3.1
09:47:00,NIFTY25D2326600CE,14601730,1766031360,1766031420,3.1,3.2,3.05,3.15
09:48:00,NIFTY25D2326600CE,14601730,1766031420,1766031480,3.15,3.25,3.1,3.2
09:49:00,NIFTY25D2326600CE,14601730,1766031480,1766031540,3.25,3.25,3.2,3.25
09:50:00,NIFTY25D2326600CE,14601730,1766031540,1766031600,3.25,3.25,3.15,3.2
09:51:00,NIFTY25D2326600CE,14601730,1766031600,1766031660,3.2,3.3,3.2,3.25
09:52:00,NIFTY25D2326600CE,14601730,1766031660,1766031720,3.2,3.25,3.15,3.25
09:53:00,NIFTY25D2326600CE,14601730,1766031720,1766031780,3.25,3.25,3.15,3.2
09:54:00,NIFTY25D2326600CE,14601730,1766031780,1766031840,3.2,3.2,3.1,3.1
09:55:00,NIFTY25D2326600CE,14601730,1766031840,1766031900,3.15,3.25,3.15,3.25
09:56:00,NIFTY25D2326600CE,14601730,1766031900,1766031960,3.2,3.25,3.15,3.2
09:57:00,NIFTY25D2326600CE,14601730,1766031960,1766032020,3.2,3.25,3.2,3.25
09:58:00,NIFTY25D2326600CE,14601730,1766032020,1766032080,3.25,3.3,3.2,3.2
09:59:00,NIFTY25D2326600CE,14601730,1766032080,1766032140,3.2,3.3,3.2,3.25
10:00:00,NIFTY25D2326600CE,14601730,1766032140,1766032200,3.3,3.3,3.2,3.25
10:01:00,NIFTY25D2326600CE,14601730,1766032200,1766032260,3.3,3.3,3.2,3.25
10:02:00,NIFTY25D2326600CE,14601730,1766032260,1766032320,3.25,3.3,3.2,3.2
10:03:00,NIFTY25D2326600CE,14601730,1766032320,1766032380,3.2,3.25,3.2,3.25
11:37:00,NIFTY25D2326600CE,14601730,1766037960,1766038020,2.75,2.75,2.65,2.65
11:38:00,NIFTY25D2326600CE,14601730,1766038020,1766038080,2.65,2.7,2.65,2.7
11:39:00,NIFTY25D2326600CE,14601730,1766038080,1766038140,2.7,2.7,2.65,2.7
11:40:00,NIFTY25D2326600CE,14601730,1766038140,1766038200,2.65,2.7,2.65,2.7
11:41:00,NIFTY25D2326600CE,14601730,1766038200,1766038260,2.65,2.7,2.6,2.65
11:42:00,NIFTY25D2326600CE,14601730,1766038260,1766038320,2.65,2.7,2.6,2.65
11:43:00,NIFTY25D2326600CE,14601730,1766038320,1766038380,2.65,2.65,2.6,2.65
11:44:00,NIFTY25D2326600CE,14601730,1766038380,1766038440,2.65,2.65,2.55,2.6
11:45:00,NIFTY25D2326600CE,14601730,1766038440,1766038500,2.6,2.6,2.55,2.6
11:46:00,NIFTY25D2326600CE,14601730,1766038500,1766038560,2.6,2.6,2.55,2.6
11:47:00,NIFTY25D2326600CE,14601730,1766038560,1766038620,2.6,2.6,2.55,2.6
11:48:00,NIFTY25D2326600CE,14601730,1766038620,1766038680,2.6,2.7,2.6,2.7
11:49:00,NIFTY25D2326600CE,14601730,1766038680,1766038740,2.7,2.75,2.65,2.7
11:50:00,NIFTY25D2326600CE,14601730,1766038740,1766038800,2.7,2.75,2.7,2.75
11:51:00,NIFTY25D2326600CE,14601730,1766038800,1766038860,2.75,2.75,2.7,2.7
11:52:00,NIFTY25D2326600CE,14601730,1766038860,1766038920,2.65,2.7,2.65,2.65
11:53:00,NIFTY25D2326600CE,14601730,1766038920,1766038980,2.65,2.7,2.65,2.65
11:54:00,NIFTY25D2326600CE,14601730,1766038980,1766039040,2.65,2.7,2.6,2.65
11:55:00,NIFTY25D2326600CE,14601730,1766039040,1766039100,2.65,2.7,2.6,2.7
11:56:00,NIFTY25D2326600CE,14601730,1766039100,1766039160,2.7,2.7,2.6,2.7
11:57:00,NIFTY25D2326600CE,14601730,1766039160,1766039220,2.7,2.7,2.65,2.65
11:58:00,NIFTY25D2326600CE,14601730,1766039220,1766039280,2.7,2.7,2.6,2.65
11:59:00,NIFTY25D2326600CE,14601730,1766039280,1766039340,2.65,2.65,2.6,2.6
12:00:00,NIFTY25D2326600CE,14601730,1766039340,1766039400,2.6,2.7,2.6,2.65
12:01:00,NIFTY25D2326600CE,14601730,1766039400,1766039460,2.65,2.75,2.6,2.75
12:02:00,NIFTY25D2326600CE,14601730,1766039460,1766039520,2.75,2.8,2.7,2.8
12:03:00,NIFTY25D2326600CE,14601730,1766039520,1766039580,2.8,2.8,2.7,2.75
12:04:00,NIFTY25D2326600CE,14601730,1766039580,1766039640,2.75,2.75,2.7,2.7
12:05:00,NIFTY25D2326600CE,14601730,1766039640,1766039700,2.7,2.75,2.65,2.7
12:06:00,NIFTY25D2326600CE,14601730,1766039700,1766039760,2.7,2.7,2.65,2.7
12:07:00,NIFTY25D2326600CE,14601730,1766039760,1766039820,2.7,2.7,2.65,2.7
12:08:00,NIFTY25D2326600CE,14601730,1766039820,1766039880,2.7,2.7,2.65,2.7
12:09:00,NIFTY25D2326600CE,14601730,1766039880,1766039940,2.7,2.7,2.6,2.6
12:10:00,NIFTY25D2326600CE,14601730,1766039940,1766040000,2.65,2.65,2.6,2.6
12:11:00,NIFTY25D2326600CE,14601730,1766040000,1766040060,2.6,2.65,2.6,2.65
12:12:00,NIFTY25D2326600CE,14601730,1766040060,1766040120,2.65,2.65,2.6,2.65
12:13:00,NIFTY25D2326600CE,14601730,1766040120,1766040180,2.65,2.65,2.6,2.6
12:14:00,NIFTY25D2326600CE,14601730,1766040180,1766040240,2.6,2.6,2.55,2.55
12:15:00,NIFTY25D2326600CE,14601730,1766040240,1766040300,2.55,2.6,2.55,2.55
12:16:00,NIFTY25D2326600CE,14601730,1766040300,1766040360,2.55,2.6,2.5,2.55
12:17:00,NIFTY25D2326600CE,14601730,1766040360,1766040420,2.55,2.6,2.55,2.55
12:18:00,NIFTY25D2326600CE,14601730,1766040420,1766040480,2.55,2.6,2.55,2.55
12:19:00,NIFTY25D2326600CE,14601730,1766040480,1766040540,2.55,2.6,2.55,2.55
12:20:00,NIFTY25D2326600CE,14601730,1766040540,1766040600,2.55,2.6,2.55,2.6
12:21:00,NIFTY25D2326600CE,14601730,1766040600,1766040660,2.6,2.6,2.55,2.6
12:22:00,NIFTY25D2326600CE,14601730,1766040660,1766040720,2.6,2.65,2.55,2.6
12:23:00,NIFTY25D2326600CE,14601730,1766040720,1766040780,2.6,2.65,2.6,2.65
12:24:00,NIFTY25D2326600CE,14601730,1766040780,1766040840,2.6,2.65,2.55,2.65
12:25:00,NIFTY25D2326600CE,14601730,1766040840,1766040900,2.65,2.65,2.6,2.6
12:26:00,NIFTY25D2326600CE,14601730,1766040900,1766040960,2.6,2.65,2.6,2.6
12:27:00,NIFTY25D2326600CE,14601730,1766040960,1766041020,2.6,2.65,2.6,2.6
12:28:00,NIFTY25D2326600CE,14601730,1766041020,1766041080,2.6,2.65,2.6,2.65
12:29:00,NIFTY25D2326600CE,14601730,1766041080,1766041140,2.65,2.65,2.6,2.6
